FIPS,MajorOcc,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample,StateAB
,,0,1397967,0.056893895,8241638,144859796,1397967,US
,Management Occupations,1,146465,0.04586701,657120,14326637,146465,US
,Business & Financial Operations Occupations,1,69769,0.042133303,294640,6993043,69769,US
,Computer & Mathematical Occupations,1,37996,0.03659317,142105,3883375,37996,US
,Architecture & Engineering Occupations,1,27337,0.037519635,100369,2675106,27337,US
,"Life, Physical, & Social Science Occupations",1,13112,0.038427773,47843,1245011,13112,US
,Community & Social Services Occupations,1,24452,0.063569936,151437,2382211,24452,US
,Legal Occupations,1,17519,0.042512064,71696,1686486,17519,US
,"Education, Training, & Library Occupations",1,93108,0.043677477,384616,8805820,93108,US
,"Arts, Design, Entertainment, Sports, & Media Occupations",1,27331,0.047181678,131167,2780041,27331,US
,Healthcare Practitioners & Technical Occupations,1,82381,0.041331607,336397,8138977,82381,US
,Healthcare Support Occupations,1,33966,0.06327079,237879,3759697,33966,US
,Protective Service Occupations,1,30667,0.058674846,187031,3187584,30667,US
,Food Preparation & Serving Related Occupations,1,66927,0.059735949,481215,8055702,66927,US
,Building & Grounds Cleaning & Maintenance Occupations,1,51320,0.089528031,518587,5792454,51320,US
,Personal Care & Service Occupations,1,49492,0.071351102,379133,5313625,49492,US
,Sales & Related Occupations,1,142461,0.054310955,835491,15383471,142461,US
,Office & Administrative Support Occupations,1,190799,0.060588769,1170403,19317161,190799,US
,"Farming, Fishing, & Forestry Occupations",1,9928,0.065048492,65690,1009862,9928,US
,Construction & Extraction Occupations,1,64778,0.057640362,417387,7241228,64778,US
,"Installation, Maintenance, & Repair Occupations",1,45779,0.067082257,317642,4735112,45779,US
,Production Occupations,1,83545,0.071888938,626364,8712940,83545,US
,Transportation & Material Moving Occupations,1,83226,0.07451102,663072,8898979,83226,US
,Military Specific Occupations,1,5609,0.045498193,24354,535274,5609,US
1,,2,19117,0.066263152,132861,2005051,19117,AL
2,,2,2918,0.069012401,25582,370687,2918,AK
4,,2,26822,0.054987698,153051,2783368,26822,AZ
5,,2,11785,0.071929683,88954,1236680,11785,AR
6,,2,162910,0.044273221,761564,17201459,162910,CA
8,,2,25225,0.057807199,150818,2608983,25225,CO
9,,2,17496,0.051488644,90834,1764156,17496,CT
10,,2,3938,0.0625174,26274,420267,3938,DE
11,,2,3380,0.044093008,14685,333046,3380,DC
12,,2,80848,0.052184479,442274,8475202,80848,FL
13,,2,41144,0.05703211,249675,4377797,41144,GA
15,,2,6809,0.047543335,32952,693094,6809,HI
16,,2,6656,0.064950024,45844,705835,6656,ID
17,,2,59156,0.05184463,313602,6048881,59156,IL
18,,2,29681,0.0668236,199988,2992775,29681,IN
19,,2,15321,0.063369301,96930,1529605,15321,IA
20,,2,13588,0.063211285,88036,1392726,13588,KS
21,,2,18837,0.071545657,134956,1886292,18837,KY
22,,2,18901,0.068854509,138789,2015685,18901,LA
23,,2,5937,0.073866671,47434,642157,5937,ME
24,,2,29274,0.051665965,154812,2996402,29274,MD
25,,2,33887,0.048178961,161986,3362173,33887,MA
26,,2,42273,0.062867186,272283,4331083,42273,MI
27,,2,27279,0.054942555,152887,2782670,27279,MN
28,,2,11373,0.075406033,90503,1200209,11373,MS
29,,2,27406,0.062657277,175141,2795222,27406,MO
30,,2,4625,0.069005528,32531,471426,4625,MT
31,,2,9339,0.056095531,53703,957349,9339,NE
32,,2,11818,0.070139095,88199,1257487,11818,NV
33,,2,6823,0.059172212,40449,683581,6823,NH
34,,2,41478,0.046879642,197889,4221214,41478,NJ
35,,2,7669,0.079414361,68474,862237,7669,NM
36,,2,89169,0.046111432,422713,9167206,89169,NY
37,,2,42334,0.058784758,258999,4405887,42334,NC
38,,2,3702,0.056817577,22418,394561,3702,ND
39,,2,53123,0.062209014,330528,5313185,53123,OH
40,,2,15636,0.0798981,138093,1728364,15636,OK
41,,2,17113,0.069890122,123703,1769964,17113,OR
42,,2,58720,0.057354687,339337,5916465,58720,PA
44,,2,5221,0.053305982,27623,518197,5221,RI
45,,2,19975,0.064611805,135108,2091073,19975,SC
46,,2,4135,0.079152318,33925,428604,4135,SD
47,,2,27950,0.068805092,197468,2869962,27950,TN
48,,2,112209,0.060712433,731345,12046050,112209,TX
49,,2,12408,0.055652237,72401,1300954,12408,UT
50,,2,3209,0.064101266,20261,316078,3209,VT
51,,2,39818,0.050358536,203963,4050217,39818,VA
53,,2,31313,0.061955277,202445,3267599,31313,WA
54,,2,7236,0.080979516,61221,756006,7236,WV
55,,2,28160,0.061654543,174048,2822955,28160,WI
56,,2,2823,0.075698563,22079,291670,2823,WY
1,Management Occupations,3,1740,0.053097946,9390,176843,1740,AL
1,Business & Financial Operations Occupations,3,762,0.050299836,3741,74374,762,AL
1,Computer & Mathematical Occupations,3,365,0.047204229,1902,40293,365,AL
1,Architecture & Engineering Occupations,3,440,0.044405797,1915,43125,440,AL
1,"Life, Physical, & Social Science Occupations",3,121,0.04899876,553,11286,121,AL
1,Community & Social Services Occupations,3,350,0.025262705,940,37209,350,AL
1,Legal Occupations,3,194,0.036335368,631,17366,194,AL
1,"Education, Training, & Library Occupations",3,1287,0.050328228,6325,125675,1287,AL
1,"Arts, Design, Entertainment, Sports, & Media Occupations",3,255,0.083893632,2221,26474,255,AL
1,Healthcare Practitioners & Technical Occupations,3,1241,0.063296139,7692,121524,1241,AL
1,Healthcare Support Occupations,3,444,0.073939012,3751,50731,444,AL
1,Protective Service Occupations,3,389,0.095277144,3718,39023,389,AL
1,Food Preparation & Serving Related Occupations,3,865,0.072407879,7642,105541,865,AL
1,Building & Grounds Cleaning & Maintenance Occupations,3,716,0.095713425,7623,79644,716,AL
1,Personal Care & Service Occupations,3,528,0.07717797,4239,54925,528,AL
1,Sales & Related Occupations,3,2008,0.064723397,13760,212597,2008,AL
1,Office & Administrative Support Occupations,3,2612,0.0709505,18159,255939,2612,AL
1,"Farming, Fishing, & Forestry Occupations",3,112,0.084630487,1207,14262,112,AL
1,Construction & Extraction Occupations,3,901,0.068205865,7220,105856,901,AL
1,"Installation, Maintenance, & Repair Occupations",3,820,0.080868272,6799,84075,820,AL
1,Production Occupations,3,1643,0.066582299,12101,181745,1643,AL
1,Transportation & Material Moving Occupations,3,1282,0.077167415,10908,141355,1282,AL
1,Military Specific Occupations,3,42,0.081711312,424,5189,42,AL
2,Management Occupations,3,272,0.077933957,2556,32797,272,AK
2,Business & Financial Operations Occupations,3,104,0.041676927,677,16244,104,AK
2,Computer & Mathematical Occupations,3,30,0.090389016,553,6118,30,AK
2,Architecture & Engineering Occupations,3,70,0.019151847,182,9503,70,AK
2,"Life, Physical, & Social Science Occupations",3,33,0.079327399,401,5055,33,AK
2,Community & Social Services Occupations,3,79,0.08936438,994,11123,79,AK
2,Legal Occupations,3,35,0,0,4749,35,AK
2,"Education, Training, & Library Occupations",3,188,0.014751861,335,22709,188,AK
2,"Arts, Design, Entertainment, Sports, & Media Occupations",3,33,0.054506335,228,4183,33,AK
2,Healthcare Practitioners & Technical Occupations,3,122,0.071375386,1342,18802,122,AK
2,Healthcare Support Occupations,3,71,0.059293804,534,9006,71,AK
2,Protective Service Occupations,3,86,0.041661067,310,7441,86,AK
2,Food Preparation & Serving Related Occupations,3,119,0.022380351,390,17426,119,AK
2,Building & Grounds Cleaning & Maintenance Occupations,3,101,0.15729276,1499,9530,101,AK
2,Personal Care & Service Occupations,3,111,0.143220048,2086,14565,111,AK
2,Sales & Related Occupations,3,239,0.090637959,3191,35206,239,AK
2,Office & Administrative Support Occupations,3,408,0.095719527,4696,49060,408,AK
2,"Farming, Fishing, & Forestry Occupations",3,52,0.07117198,317,4454,52,AK
2,Construction & Extraction Occupations,3,234,0.034256218,1022,29834,234,AK
2,"Installation, Maintenance, & Repair Occupations",3,134,0.069353643,1029,14837,134,AK
2,Production Occupations,3,131,0.065441036,687,10498,131,AK
2,Transportation & Material Moving Occupations,3,199,0.078028239,2205,28259,199,AK
2,Military Specific Occupations,3,67,0.0374677,348,9288,67,AK
4,Management Occupations,3,2777,0.040991518,10787,263152,2777,AZ
4,Business & Financial Operations Occupations,3,1367,0.051417667,6844,133106,1367,AZ
4,Computer & Mathematical Occupations,3,815,0.034361929,2785,81049,815,AZ
4,Architecture & Engineering Occupations,3,663,0.029134101,1793,61543,663,AZ
4,"Life, Physical, & Social Science Occupations",3,211,0.030052083,577,19200,211,AZ
4,Community & Social Services Occupations,3,502,0.048870796,2389,48884,502,AZ
4,Legal Occupations,3,284,0.040681103,1099,27015,284,AZ
4,"Education, Training, & Library Occupations",3,1712,0.045945284,7124,155054,1712,AZ
4,"Arts, Design, Entertainment, Sports, & Media Occupations",3,497,0.043094413,2138,49612,497,AZ
4,Healthcare Practitioners & Technical Occupations,3,1528,0.05389603,8038,149139,1528,AZ
4,Healthcare Support Occupations,3,538,0.057345807,3310,57720,538,AZ
4,Protective Service Occupations,3,796,0.047412267,4018,84746,796,AZ
4,Food Preparation & Serving Related Occupations,3,1338,0.055745214,9128,163745,1338,AZ
4,Building & Grounds Cleaning & Maintenance Occupations,3,1132,0.059603502,7871,132056,1132,AZ
4,Personal Care & Service Occupations,3,1059,0.058569313,6722,114770,1059,AZ
4,Sales & Related Occupations,3,2998,0.050468184,16773,332348,2998,AZ
4,Office & Administrative Support Occupations,3,3769,0.06408142,24556,383200,3769,AZ
4,"Farming, Fishing, & Forestry Occupations",3,187,0.041520166,803,19340,187,AZ
4,Construction & Extraction Occupations,3,1272,0.065296851,9486,145275,1272,AZ
4,"Installation, Maintenance, & Repair Occupations",3,940,0.071691264,7505,104685,940,AZ
4,Production Occupations,3,1012,0.073764419,8064,109321,1012,AZ
4,Transportation & Material Moving Occupations,3,1333,0.077238155,10937,141601,1333,AZ
4,Military Specific Occupations,3,92,0.044659909,304,6807,92,AZ
5,Management Occupations,3,1073,0.05691263,6286,110450,1073,AR
5,Business & Financial Operations Occupations,3,416,0.050088261,2043,40788,416,AR
5,Computer & Mathematical Occupations,3,215,0.03240378,703,21695,215,AR
