Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
,Healthcare Support Occupations,0,Bachelors Degree or more,7,3902,414846,3902
,Healthcare Support Occupations,1,Less than High School,7,351,35202,351
,Healthcare Support Occupations,1,High School,7,759,77757,759
,Healthcare Support Occupations,1,Some College,7,1048,106000,1048
,Healthcare Support Occupations,1,Bachelors Degree or more,7,187,18728,187
,Protective Service Occupations,0,Less than High School,7,821,85279,821
,Protective Service Occupations,0,High School,7,6735,709073,6735
,Protective Service Occupations,0,Some College,7,13912,1458698,13912
,Protective Service Occupations,0,Bachelors Degree or more,7,7251,747156,7251
,Protective Service Occupations,1,Less than High School,7,151,14024,151
,Protective Service Occupations,1,High School,7,544,53005,544
,Protective Service Occupations,1,Some College,7,935,90346,935
,Protective Service Occupations,1,Bachelors Degree or more,7,314,29656,314
,Food Preparation & Serving Related Occupations,0,Less than High School,7,10883,1418149,10883
,Food Preparation & Serving Related Occupations,0,High School,7,21708,2599198,21708
,Food Preparation & Serving Related Occupations,0,Some College,7,24081,2878502,24081
,Food Preparation & Serving Related Occupations,0,Bachelors Degree or more,7,5737,667186,5737
,Food Preparation & Serving Related Occupations,1,Less than High School,7,992,112660,992
,Food Preparation & Serving Related Occupations,1,High School,7,1790,191843,1790
,Food Preparation & Serving Related Occupations,1,Some College,7,1384,149675,1384
,Food Preparation & Serving Related Occupations,1,Bachelors Degree or more,7,226,24984,226
,Building & Grounds Cleaning & Maintenance Occupations,0,Less than High School,7,12521,1582935,12521
,Building & Grounds Cleaning & Maintenance Occupations,0,High School,7,18555,2088657,18555
,Building & Grounds Cleaning & Maintenance Occupations,0,Some College,7,11687,1261144,11687
,Building & Grounds Cleaning & Maintenance Occupations,0,Bachelors Degree or more,7,3088,325128,3088
,Building & Grounds Cleaning & Maintenance Occupations,1,Less than High School,7,1616,166868,1616
,Building & Grounds Cleaning & Maintenance Occupations,1,High School,7,2251,216208,2251
,Building & Grounds Cleaning & Maintenance Occupations,1,Some College,7,1156,106011,1156
,Building & Grounds Cleaning & Maintenance Occupations,1,Bachelors Degree or more,7,259,25376,259
,Personal Care & Service Occupations,0,Less than High School,7,4475,494799,4475
,Personal Care & Service Occupations,0,High School,7,14759,1606237,14759
,Personal Care & Service Occupations,0,Some College,7,18691,2014414,18691
,Personal Care & Service Occupations,0,Bachelors Degree or more,7,7620,804062,7620
,Personal Care & Service Occupations,1,Less than High School,7,622,61989,622
,Personal Care & Service Occupations,1,High School,7,1333,131671,1333
,Personal Care & Service Occupations,1,Some College,7,1413,142953,1413
,Personal Care & Service Occupations,1,Bachelors Degree or more,7,393,39891,393
,Sales & Related Occupations,0,Less than High School,7,8120,938840,8120
,Sales & Related Occupations,0,High School,7,34847,3830180,34847
,Sales & Related Occupations,0,Some College,7,50891,5625554,50891
,Sales & Related Occupations,0,Bachelors Degree or more,7,39673,4124154,39673
,Sales & Related Occupations,1,Less than High School,7,847,82618,847
,Sales & Related Occupations,1,High School,7,2721,261508,2721
,Sales & Related Occupations,1,Some College,7,3411,339859,3411
,Sales & Related Occupations,1,Bachelors Degree or more,7,1601,148093,1601
,Office & Administrative Support Occupations,0,Less than High School,7,6906,754965,6906
,Office & Administrative Support Occupations,0,High School,7,52385,5318399,52385
,Office & Administrative Support Occupations,0,Some College,7,80885,8250978,80885
,Office & Administrative Support Occupations,0,Bachelors Degree or more,7,37952,3789835,37952
,Office & Administrative Support Occupations,1,Less than High School,7,840,83454,840
,Office & Administrative Support Occupations,1,High School,7,4068,383252,4068
,Office & Administrative Support Occupations,1,Some College,7,5445,518197,5445
,Office & Administrative Support Occupations,1,Bachelors Degree or more,7,1899,180983,1899
,"Farming, Fishing, & Forestry Occupations",0,Less than High School,7,3840,442337,3840
,"Farming, Fishing, & Forestry Occupations",0,High School,7,2894,280088,2894
,"Farming, Fishing, & Forestry Occupations",0,Some College,7,1586,150726,1586
,"Farming, Fishing, & Forestry Occupations",0,Bachelors Degree or more,7,597,53564,597
,"Farming, Fishing, & Forestry Occupations",1,Less than High School,7,333,31442,333
,"Farming, Fishing, & Forestry Occupations",1,High School,7,231,18284,231
,"Farming, Fishing, & Forestry Occupations",1,Some College,7,137,11299,137
,"Farming, Fishing, & Forestry Occupations",1,Bachelors Degree or more,7,31,1975,31
,Construction & Extraction Occupations,0,Less than High School,7,12501,1618023,12501
,Construction & Extraction Occupations,0,High School,7,26280,2915122,26280
,Construction & Extraction Occupations,0,Some College,7,17662,1862805,17662
,Construction & Extraction Occupations,0,Bachelors Degree or more,7,4038,414273,4038
,Construction & Extraction Occupations,1,Less than High School,7,938,102768,938
,Construction & Extraction Occupations,1,High School,7,1751,166200,1751
,Construction & Extraction Occupations,1,Some College,7,1229,123421,1229
,Construction & Extraction Occupations,1,Bachelors Degree or more,7,232,23078,232
,"Installation, Maintenance, & Repair Occupations",0,Less than High School,7,4398,497053,4398
,"Installation, Maintenance, & Repair Occupations",0,High School,7,16789,1729440,16789
,"Installation, Maintenance, & Repair Occupations",0,Some College,7,18033,1847751,18033
,"Installation, Maintenance, & Repair Occupations",0,Bachelors Degree or more,7,3209,338054,3209
,"Installation, Maintenance, & Repair Occupations",1,Less than High School,7,459,45534,459
,"Installation, Maintenance, & Repair Occupations",1,High School,7,1297,123895,1297
,"Installation, Maintenance, & Repair Occupations",1,Some College,7,1313,127482,1313
,"Installation, Maintenance, & Repair Occupations",1,Bachelors Degree or more,7,203,19661,203
,Production Occupations,0,Less than High School,7,12366,1441894,12366
,Production Occupations,0,High School,7,33530,3451958,33530
,Production Occupations,0,Some College,7,24103,2520015,24103
,Production Occupations,0,Bachelors Degree or more,7,6485,663842,6485
,Production Occupations,1,Less than High School,7,1649,147843,1649
,Production Occupations,1,High School,7,3105,276622,3105
,Production Occupations,1,Some College,7,1841,168912,1841
,Production Occupations,1,Bachelors Degree or more,7,343,31589,343
,Transportation & Material Moving Occupations,0,Less than High School,7,12301,1413198,12301
,Transportation & Material Moving Occupations,0,High School,7,34431,3677717,34431
,Transportation & Material Moving Occupations,0,Some College,7,22849,2446789,22849
,Transportation & Material Moving Occupations,0,Bachelors Degree or more,7,6527,691689,6527
,Transportation & Material Moving Occupations,1,Less than High School,7,1511,147699,1511
,Transportation & Material Moving Occupations,1,High School,7,3246,299134,3246
,Transportation & Material Moving Occupations,1,Some College,7,1879,177553,1879
,Transportation & Material Moving Occupations,1,Bachelors Degree or more,7,390,37917,390
,Military Specific Occupations,0,Less than High School,7,47,4657,47
,Military Specific Occupations,0,High School,7,1569,146069,1569
,Military Specific Occupations,0,Some College,7,2422,234291,2422
,Military Specific Occupations,0,Bachelors Degree or more,7,1324,125903,1324
,Military Specific Occupations,1,Less than High School,7,3,681,3
,Military Specific Occupations,1,High School,7,66,6056,66
,Military Specific Occupations,1,Some College,7,137,12811,137
,Military Specific Occupations,1,Bachelors Degree or more,7,41,4806,41
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,,8,31117,2828841,31117
