Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Utilities,"Farming, Fishing, & Forestry Occupations",0,High School,15,4,490,4
Utilities,"Farming, Fishing, & Forestry Occupations",0,Some College,15,2,318,2
Utilities,"Farming, Fishing, & Forestry Occupations",0,Bachelors Degree or more,15,2,100,2
Utilities,"Farming, Fishing, & Forestry Occupations",1,Less than High School,15,1,59,1
Utilities,Construction & Extraction Occupations,0,Less than High School,15,71,6969,71
Utilities,Construction & Extraction Occupations,0,High School,15,439,43974,439
Utilities,Construction & Extraction Occupations,0,Some College,15,411,41565,411
Utilities,Construction & Extraction Occupations,0,Bachelors Degree or more,15,65,7377,65
Utilities,Construction & Extraction Occupations,1,Less than High School,15,5,441,5
Utilities,Construction & Extraction Occupations,1,High School,15,40,2382,40
Utilities,Construction & Extraction Occupations,1,Some College,15,31,3054,31
Utilities,Construction & Extraction Occupations,1,Bachelors Degree or more,15,3,782,3
Utilities,"Installation, Maintenance, & Repair Occupations",0,Less than High School,15,56,6471,56
Utilities,"Installation, Maintenance, & Repair Occupations",0,High School,15,670,64029,670
Utilities,"Installation, Maintenance, & Repair Occupations",0,Some College,15,924,84977,924
Utilities,"Installation, Maintenance, & Repair Occupations",0,Bachelors Degree or more,15,102,9298,102
Utilities,"Installation, Maintenance, & Repair Occupations",1,Less than High School,15,6,524,6
Utilities,"Installation, Maintenance, & Repair Occupations",1,High School,15,41,3749,41
Utilities,"Installation, Maintenance, & Repair Occupations",1,Some College,15,53,4070,53
Utilities,"Installation, Maintenance, & Repair Occupations",1,Bachelors Degree or more,15,5,464,5
Utilities,Production Occupations,0,Less than High School,15,98,8907,98
Utilities,Production Occupations,0,High School,15,965,86412,965
Utilities,Production Occupations,0,Some College,15,1123,105704,1123
Utilities,Production Occupations,0,Bachelors Degree or more,15,370,34262,370
Utilities,Production Occupations,1,Less than High School,15,8,470,8
Utilities,Production Occupations,1,High School,15,65,6033,65
Utilities,Production Occupations,1,Some College,15,87,7531,87
Utilities,Production Occupations,1,Bachelors Degree or more,15,14,1251,14
Utilities,Transportation & Material Moving Occupations,0,Less than High School,15,63,6619,63
Utilities,Transportation & Material Moving Occupations,0,High School,15,222,21484,222
Utilities,Transportation & Material Moving Occupations,0,Some College,15,160,14666,160
Utilities,Transportation & Material Moving Occupations,0,Bachelors Degree or more,15,30,3003,30
Utilities,Transportation & Material Moving Occupations,1,Less than High School,15,6,531,6
Utilities,Transportation & Material Moving Occupations,1,High School,15,20,1530,20
Utilities,Transportation & Material Moving Occupations,1,Some College,15,9,759,9
Utilities,Transportation & Material Moving Occupations,1,Bachelors Degree or more,15,1,57,1
Construction         ,Management Occupations,0,Less than High School,15,593,68976,593
Construction         ,Management Occupations,0,High School,15,2500,270747,2500
Construction         ,Management Occupations,0,Some College,15,3384,349941,3384
Construction         ,Management Occupations,0,Bachelors Degree or more,15,3485,348928,3485
Construction         ,Management Occupations,1,Less than High School,15,61,6246,61
Construction         ,Management Occupations,1,High School,15,182,17888,182
Construction         ,Management Occupations,1,Some College,15,211,21057,211
Construction         ,Management Occupations,1,Bachelors Degree or more,15,131,12076,131
Construction         ,Business & Financial Operations Occupations,0,Less than High School,15,40,5315,40
Construction         ,Business & Financial Operations Occupations,0,High School,15,238,23840,238
Construction         ,Business & Financial Operations Occupations,0,Some College,15,577,57021,577
Construction         ,Business & Financial Operations Occupations,0,Bachelors Degree or more,15,821,83646,821
Construction         ,Business & Financial Operations Occupations,1,Less than High School,15,3,190,3
Construction         ,Business & Financial Operations Occupations,1,High School,15,24,2055,24
Construction         ,Business & Financial Operations Occupations,1,Some College,15,48,3763,48
Construction         ,Business & Financial Operations Occupations,1,Bachelors Degree or more,15,26,2360,26
Construction         ,Computer & Mathematical Occupations,0,Less than High School,15,2,167,2
Construction         ,Computer & Mathematical Occupations,0,High School,15,25,2516,25
Construction         ,Computer & Mathematical Occupations,0,Some College,15,70,7009,70
Construction         ,Computer & Mathematical Occupations,0,Bachelors Degree or more,15,117,12824,117
Construction         ,Computer & Mathematical Occupations,1,Some College,15,2,96,2
Construction         ,Computer & Mathematical Occupations,1,Bachelors Degree or more,15,6,460,6
Construction         ,Architecture & Engineering Occupations,0,Less than High School,15,24,3272,24
Construction         ,Architecture & Engineering Occupations,0,High School,15,151,15074,151
Construction         ,Architecture & Engineering Occupations,0,Some College,15,288,27579,288
Construction         ,Architecture & Engineering Occupations,0,Bachelors Degree or more,15,743,76021,743
Construction         ,Architecture & Engineering Occupations,1,Less than High School,15,2,166,2
Construction         ,Architecture & Engineering Occupations,1,High School,15,4,250,4
Construction         ,Architecture & Engineering Occupations,1,Some College,15,18,1559,18
Construction         ,Architecture & Engineering Occupations,1,Bachelors Degree or more,15,17,1566,17
Construction         ,"Life, Physical, & Social Science Occupations",0,Less than High School,15,2,103,2
Construction         ,"Life, Physical, & Social Science Occupations",0,High School,15,2,152,2
Construction         ,"Life, Physical, & Social Science Occupations",0,Some College,15,12,938,12
Construction         ,"Life, Physical, & Social Science Occupations",0,Bachelors Degree or more,15,35,2964,35
Construction         ,"Life, Physical, & Social Science Occupations",1,Bachelors Degree or more,15,1,71,1
Construction         ,Community & Social Services Occupations,0,High School,15,2,345,2
Construction         ,Community & Social Services Occupations,0,Some College,15,4,237,4
Construction         ,Community & Social Services Occupations,0,Bachelors Degree or more,15,5,428,5
Construction         ,Legal Occupations,0,High School,15,2,302,2
Construction         ,Legal Occupations,0,Some College,15,5,453,5
Construction         ,Legal Occupations,0,Bachelors Degree or more,15,32,2367,32
Construction         ,Legal Occupations,1,Bachelors Degree or more,15,1,96,1
Construction         ,"Education, Training, & Library Occupations",0,High School,15,5,372,5
Construction         ,"Education, Training, & Library Occupations",0,Some College,15,10,1090,10
Construction         ,"Education, Training, & Library Occupations",0,Bachelors Degree or more,15,15,1738,15
Construction         ,"Education, Training, & Library Occupations",1,High School,15,1,80,1
Construction         ,"Education, Training, & Library Occupations",1,Some College,15,1,95,1
Construction         ,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Less than High School,15,6,391,6
Construction         ,"Arts, Design, Entertainment, Sports, & Media Occupations",0,High School,15,24,2509,24
Construction         ,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Some College,15,72,7546,72
Construction         ,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Bachelors Degree or more,15,96,10082,96
Construction         ,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Less than High School,15,1,287,1
Construction         ,"Arts, Design, Entertainment, Sports, & Media Occupations",1,High School,15,2,98,2
Construction         ,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Some College,15,8,898,8
Construction         ,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Bachelors Degree or more,15,5,399,5
Construction         ,Healthcare Practitioners & Technical Occupations,0,Less than High School,15,1,30,1
Construction         ,Healthcare Practitioners & Technical Occupations,0,High School,15,3,378,3
Construction         ,Healthcare Practitioners & Technical Occupations,0,Some College,15,19,2205,19
Construction         ,Healthcare Practitioners & Technical Occupations,0,Bachelors Degree or more,15,13,1245,13
Construction         ,Healthcare Practitioners & Technical Occupations,1,High School,15,1,75,1
Construction         ,Healthcare Practitioners & Technical Occupations,1,Some College,15,2,94,2
Construction         ,Healthcare Practitioners & Technical Occupations,1,Bachelors Degree or more,15,1,132,1
Construction         ,Healthcare Support Occupations,0,Less than High School,15,1,89,1
Construction         ,Healthcare Support Occupations,0,High School,15,2,253,2
Construction         ,Healthcare Support Occupations,0,Some College,15,4,463,4
Construction         ,Healthcare Support Occupations,1,Some College,15,2,62,2
Construction         ,Protective Service Occupations,0,Less than High School,15,11,1681,11
Construction         ,Protective Service Occupations,0,High School,15,49,5396,49
Construction         ,Protective Service Occupations,0,Some College,15,52,6063,52
Construction         ,Protective Service Occupations,0,Bachelors Degree or more,15,16,2306,16
Construction         ,Protective Service Occupations,1,Less than High School,15,3,360,3
Construction         ,Protective Service Occupations,1,High School,15,3,202,3
Construction         ,Protective Service Occupations,1,Some College,15,2,203,2
Construction         ,Protective Service Occupations,1,Bachelors Degree or more,15,4,360,4
Construction         ,Food Preparation & Serving Related Occupations,0,Less than High School,15,1,209,1
Construction         ,Food Preparation & Serving Related Occupations,0,High School,15,2,154,2
Construction         ,Food Preparation & Serving Related Occupations,0,Some College,15,4,581,4
Construction         ,Food Preparation & Serving Related Occupations,1,Less than High School,15,1,96,1
Construction         ,Food Preparation & Serving Related Occupations,1,High School,15,1,60,1
Construction         ,Building & Grounds Cleaning & Maintenance Occupations,0,Less than High School,15,84,10566,84
Construction         ,Building & Grounds Cleaning & Maintenance Occupations,0,High School,15,121,12225,121
Construction         ,Building & Grounds Cleaning & Maintenance Occupations,0,Some College,15,69,7375,69
Construction         ,Building & Grounds Cleaning & Maintenance Occupations,0,Bachelors Degree or more,15,20,1757,20
Construction         ,Building & Grounds Cleaning & Maintenance Occupations,1,Less than High School,15,8,794,8
Construction         ,Building & Grounds Cleaning & Maintenance Occupations,1,High School,15,8,1099,8
Construction         ,Building & Grounds Cleaning & Maintenance Occupations,1,Some College,15,9,606,9
Construction         ,Building & Grounds Cleaning & Maintenance Occupations,1,Bachelors Degree or more,15,5,241,5
Construction         ,Personal Care & Service Occupations,0,Less than High School,15,2,413,2
Construction         ,Personal Care & Service Occupations,0,High School,15,3,400,3
Construction         ,Personal Care & Service Occupations,0,Some College,15,2,152,2
Construction         ,Personal Care & Service Occupations,0,Bachelors Degree or more,15,3,442,3
Construction         ,Sales & Related Occupations,0,Less than High School,15,36,3701,36
Construction         ,Sales & Related Occupations,0,High School,15,205,21852,205
Construction         ,Sales & Related Occupations,0,Some College,15,349,35902,349
Construction         ,Sales & Related Occupations,0,Bachelors Degree or more,15,307,30103,307
Construction         ,Sales & Related Occupations,1,Less than High School,15,4,377,4
Construction         ,Sales & Related Occupations,1,High School,15,6,463,6
Construction         ,Sales & Related Occupations,1,Some College,15,27,3110,27
Construction         ,Sales & Related Occupations,1,Bachelors Degree or more,15,11,947,11
Construction         ,Office & Administrative Support Occupations,0,Less than High School,15,216,20664,216
Construction         ,Office & Administrative Support Occupations,0,High School,15,1386,141024,1386
Construction         ,Office & Administrative Support Occupations,0,Some College,15,2155,216602,2155
Construction         ,Office & Administrative Support Occupations,0,Bachelors Degree or more,15,872,85373,872
Construction         ,Office & Administrative Support Occupations,1,Less than High School,15,20,1793,20
Construction         ,Office & Administrative Support Occupations,1,High School,15,135,12780,135
Construction         ,Office & Administrative Support Occupations,1,Some College,15,148,14620,148
Construction         ,Office & Administrative Support Occupations,1,Bachelors Degree or more,15,39,4207,39
Construction         ,"Farming, Fishing, & Forestry Occupations",0,Less than High School,15,9,1366,9
Construction         ,"Farming, Fishing, & Forestry Occupations",0,High School,15,15,1907,15
Construction         ,"Farming, Fishing, & Forestry Occupations",0,Some College,15,11,1450,11
Construction         ,"Farming, Fishing, & Forestry Occupations",0,Bachelors Degree or more,15,3,205,3
Construction         ,"Farming, Fishing, & Forestry Occupations",1,High School,15,4,270,4
Construction         ,Construction & Extraction Occupations,0,Less than High School,15,10975,1444873,10975
Construction         ,Construction & Extraction Occupations,0,High School,15,21205,2391383,21205
Construction         ,Construction & Extraction Occupations,0,Some College,15,13353,1434746,13353
Construction         ,Construction & Extraction Occupations,0,Bachelors Degree or more,15,3130,322301,3130
Construction         ,Construction & Extraction Occupations,1,Less than High School,15,774,86217,774
Construction         ,Construction & Extraction Occupations,1,High School,15,1341,128505,1341
Construction         ,Construction & Extraction Occupations,1,Some College,15,883,88858,883
Construction         ,Construction & Extraction Occupations,1,Bachelors Degree or more,15,171,16104,171
Construction         ,"Installation, Maintenance, & Repair Occupations",0,Less than High School,15,477,56276,477
Construction         ,"Installation, Maintenance, & Repair Occupations",0,High School,15,1757,189181,1757
Construction         ,"Installation, Maintenance, & Repair Occupations",0,Some College,15,1639,177082,1639
Construction         ,"Installation, Maintenance, & Repair Occupations",0,Bachelors Degree or more,15,195,20616,195
Construction         ,"Installation, Maintenance, & Repair Occupations",1,Less than High School,15,36,4175,36
Construction         ,"Installation, Maintenance, & Repair Occupations",1,High School,15,110,10305,110
Construction         ,"Installation, Maintenance, & Repair Occupations",1,Some College,15,114,11381,114
Construction         ,"Installation, Maintenance, & Repair Occupations",1,Bachelors Degree or more,15,16,1386,16
Construction         ,Production Occupations,0,Less than High School,15,234,27075,234
Construction         ,Production Occupations,0,High School,15,556,60131,556
Construction         ,Production Occupations,0,Some College,15,381,41708,381
Construction         ,Production Occupations,0,Bachelors Degree or more,15,49,4307,49
Construction         ,Production Occupations,1,Less than High School,15,21,2337,21
Construction         ,Production Occupations,1,High School,15,34,3319,34
Construction         ,Production Occupations,1,Some College,15,29,3099,29
Construction         ,Production Occupations,1,Bachelors Degree or more,15,3,213,3
Construction         ,Transportation & Material Moving Occupations,0,Less than High School,15,475,51165,475
Construction         ,Transportation & Material Moving Occupations,0,High School,15,1232,119399,1232
Construction         ,Transportation & Material Moving Occupations,0,Some College,15,532,51434,532
Construction         ,Transportation & Material Moving Occupations,0,Bachelors Degree or more,15,77,7664,77
Construction         ,Transportation & Material Moving Occupations,1,Less than High School,15,59,4927,59
Construction         ,Transportation & Material Moving Occupations,1,High School,15,127,11156,127
Construction         ,Transportation & Material Moving Occupations,1,Some College,15,52,4324,52
Construction         ,Transportation & Material Moving Occupations,1,Bachelors Degree or more,15,7,661,7
Manufacturing,Management Occupations,0,Less than High School,15,375,35375,375
Manufacturing,Management Occupations,0,High School,15,2086,209874,2086
Manufacturing,Management Occupations,0,Some College,15,4224,401530,4224
Manufacturing,Management Occupations,0,Bachelors Degree or more,15,11256,1092246,11256
Manufacturing,Management Occupations,1,Less than High School,15,32,2648,32
Manufacturing,Management Occupations,1,High School,15,139,12877,139
Manufacturing,Management Occupations,1,Some College,15,257,23555,257
Manufacturing,Management Occupations,1,Bachelors Degree or more,15,396,36447,396
Manufacturing,Business & Financial Operations Occupations,0,Less than High School,15,83,7106,83
Manufacturing,Business & Financial Operations Occupations,0,High School,15,643,64616,643
Manufacturing,Business & Financial Operations Occupations,0,Some College,15,1513,148376,1513
Manufacturing,Business & Financial Operations Occupations,0,Bachelors Degree or more,15,4162,413968,4162
Manufacturing,Business & Financial Operations Occupations,1,Less than High School,15,14,1604,14
Manufacturing,Business & Financial Operations Occupations,1,High School,15,40,3290,40
Manufacturing,Business & Financial Operations Occupations,1,Some College,15,97,8825,97
Manufacturing,Business & Financial Operations Occupations,1,Bachelors Degree or more,15,115,10343,115
Manufacturing,Computer & Mathematical Occupations,0,Less than High School,15,25,2239,25
Manufacturing,Computer & Mathematical Occupations,0,High School,15,259,26405,259
Manufacturing,Computer & Mathematical Occupations,0,Some College,15,1020,104496,1020
Manufacturing,Computer & Mathematical Occupations,0,Bachelors Degree or more,15,2866,288454,2866
Manufacturing,Computer & Mathematical Occupations,1,Less than High School,15,1,160,1
Manufacturing,Computer & Mathematical Occupations,1,High School,15,12,1538,12
Manufacturing,Computer & Mathematical Occupations,1,Some College,15,73,6657,73
Manufacturing,Computer & Mathematical Occupations,1,Bachelors Degree or more,15,89,7784,89
Manufacturing,Architecture & Engineering Occupations,0,Less than High School,15,91,9596,91
Manufacturing,Architecture & Engineering Occupations,0,High School,15,789,81960,789
Manufacturing,Architecture & Engineering Occupations,0,Some College,15,2803,265835,2803
Manufacturing,Architecture & Engineering Occupations,0,Bachelors Degree or more,15,6928,688013,6928
Manufacturing,Architecture & Engineering Occupations,1,Less than High School,15,6,727,6
Manufacturing,Architecture & Engineering Occupations,1,High School,15,54,4825,54
Manufacturing,Architecture & Engineering Occupations,1,Some College,15,182,15725,182
Manufacturing,Architecture & Engineering Occupations,1,Bachelors Degree or more,15,198,18300,198
Manufacturing,"Life, Physical, & Social Science Occupations",0,Less than High School,15,20,1839,20
Manufacturing,"Life, Physical, & Social Science Occupations",0,High School,15,217,20578,217
Manufacturing,"Life, Physical, & Social Science Occupations",0,Some College,15,401,39586,401
Manufacturing,"Life, Physical, & Social Science Occupations",0,Bachelors Degree or more,15,1456,145368,1456
Manufacturing,"Life, Physical, & Social Science Occupations",1,Less than High School,15,2,485,2
Manufacturing,"Life, Physical, & Social Science Occupations",1,High School,15,14,957,14
Manufacturing,"Life, Physical, & Social Science Occupations",1,Some College,15,25,1925,25
Manufacturing,"Life, Physical, & Social Science Occupations",1,Bachelors Degree or more,15,44,4248,44
Manufacturing,Community & Social Services Occupations,0,High School,15,4,333,4
Manufacturing,Community & Social Services Occupations,0,Some College,15,5,490,5
Manufacturing,Community & Social Services Occupations,0,Bachelors Degree or more,15,15,1352,15
Manufacturing,Community & Social Services Occupations,1,High School,15,1,79,1
Manufacturing,Community & Social Services Occupations,1,Bachelors Degree or more,15,1,84,1
Manufacturing,Legal Occupations,0,High School,15,8,878,8
Manufacturing,Legal Occupations,0,Some College,15,25,2153,25
Manufacturing,Legal Occupations,0,Bachelors Degree or more,15,221,21193,221
Manufacturing,Legal Occupations,1,Bachelors Degree or more,15,7,693,7
Manufacturing,"Education, Training, & Library Occupations",0,Less than High School,15,6,957,6
Manufacturing,"Education, Training, & Library Occupations",0,High School,15,34,3411,34
Manufacturing,"Education, Training, & Library Occupations",0,Some College,15,70,6790,70
Manufacturing,"Education, Training, & Library Occupations",0,Bachelors Degree or more,15,118,12837,118
Manufacturing,"Education, Training, & Library Occupations",1,Less than High School,15,2,90,2
Manufacturing,"Education, Training, & Library Occupations",1,High School,15,5,558,5
Manufacturing,"Education, Training, & Library Occupations",1,Some College,15,3,168,3
Manufacturing,"Education, Training, & Library Occupations",1,Bachelors Degree or more,15,5,321,5
Manufacturing,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Less than High School,15,40,4380,40
Manufacturing,"Arts, Design, Entertainment, Sports, & Media Occupations",0,High School,15,227,22224,227
Manufacturing,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Some College,15,610,61443,610
Manufacturing,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Bachelors Degree or more,15,940,94793,940
Manufacturing,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Less than High School,15,5,378,5
Manufacturing,"Arts, Design, Entertainment, Sports, & Media Occupations",1,High School,15,31,1902,31
Manufacturing,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Some College,15,39,3294,39
Manufacturing,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Bachelors Degree or more,15,29,2891,29
Manufacturing,Healthcare Practitioners & Technical Occupations,0,Less than High School,15,10,1291,10
Manufacturing,Healthcare Practitioners & Technical Occupations,0,High School,15,50,4903,50
Manufacturing,Healthcare Practitioners & Technical Occupations,0,Some College,15,137,12411,137
Manufacturing,Healthcare Practitioners & Technical Occupations,0,Bachelors Degree or more,15,202,18666,202
Manufacturing,Healthcare Practitioners & Technical Occupations,1,Less than High School,15,2,113,2
Manufacturing,Healthcare Practitioners & Technical Occupations,1,High School,15,2,144,2
Manufacturing,Healthcare Practitioners & Technical Occupations,1,Some College,15,8,513,8
Manufacturing,Healthcare Practitioners & Technical Occupations,1,Bachelors Degree or more,15,3,209,3
Manufacturing,Healthcare Support Occupations,0,Less than High School,15,3,340,3
Manufacturing,Healthcare Support Occupations,0,High School,15,16,1700,16
Manufacturing,Healthcare Support Occupations,0,Some College,15,33,3129,33
Manufacturing,Healthcare Support Occupations,0,Bachelors Degree or more,15,12,929,12
Manufacturing,Protective Service Occupations,0,Less than High School,15,19,1920,19
Manufacturing,Protective Service Occupations,0,High School,15,91,9617,91
Manufacturing,Protective Service Occupations,0,Some College,15,125,13890,125
Manufacturing,Protective Service Occupations,0,Bachelors Degree or more,15,62,6717,62
Manufacturing,Protective Service Occupations,1,Less than High School,15,4,233,4
Manufacturing,Protective Service Occupations,1,High School,15,15,1262,15
Manufacturing,Protective Service Occupations,1,Some College,15,13,1402,13
Manufacturing,Protective Service Occupations,1,Bachelors Degree or more,15,3,256,3
Manufacturing,Food Preparation & Serving Related Occupations,0,Less than High School,15,66,8783,66
Manufacturing,Food Preparation & Serving Related Occupations,0,High School,15,118,14625,118
Manufacturing,Food Preparation & Serving Related Occupations,0,Some College,15,90,10882,90
Manufacturing,Food Preparation & Serving Related Occupations,0,Bachelors Degree or more,15,39,4588,39
Manufacturing,Food Preparation & Serving Related Occupations,1,Less than High School,15,3,537,3
Manufacturing,Food Preparation & Serving Related Occupations,1,High School,15,9,705,9
Manufacturing,Food Preparation & Serving Related Occupations,1,Some College,15,4,281,4
Manufacturing,Food Preparation & Serving Related Occupations,1,Bachelors Degree or more,15,3,231,3
Manufacturing,Building & Grounds Cleaning & Maintenance Occupations,0,Less than High School,15,352,38336,352
Manufacturing,Building & Grounds Cleaning & Maintenance Occupations,0,High School,15,778,77024,778
Manufacturing,Building & Grounds Cleaning & Maintenance Occupations,0,Some College,15,555,49756,555
Manufacturing,Building & Grounds Cleaning & Maintenance Occupations,0,Bachelors Degree or more,15,66,6594,66
Manufacturing,Building & Grounds Cleaning & Maintenance Occupations,1,Less than High School,15,57,5268,57
Manufacturing,Building & Grounds Cleaning & Maintenance Occupations,1,High School,15,82,7067,82
Manufacturing,Building & Grounds Cleaning & Maintenance Occupations,1,Some College,15,40,3682,40
Manufacturing,Building & Grounds Cleaning & Maintenance Occupations,1,Bachelors Degree or more,15,6,663,6
Manufacturing,Personal Care & Service Occupations,0,Less than High School,15,1,71,1
Manufacturing,Personal Care & Service Occupations,0,High School,15,13,1503,13
Manufacturing,Personal Care & Service Occupations,0,Some College,15,15,1853,15
Manufacturing,Personal Care & Service Occupations,0,Bachelors Degree or more,15,13,1235,13
Manufacturing,Personal Care & Service Occupations,1,Less than High School,15,1,27,1
Manufacturing,Personal Care & Service Occupations,1,High School,15,1,24,1
Manufacturing,Personal Care & Service Occupations,1,Some College,15,2,129,2
Manufacturing,Sales & Related Occupations,0,Less than High School,15,169,18767,169
Manufacturing,Sales & Related Occupations,0,High School,15,974,97721,974
Manufacturing,Sales & Related Occupations,0,Some College,15,1729,173109,1729
Manufacturing,Sales & Related Occupations,0,Bachelors Degree or more,15,2995,301751,2995
Manufacturing,Sales & Related Occupations,1,Less than High School,15,16,1194,16
Manufacturing,Sales & Related Occupations,1,High School,15,80,6602,80
Manufacturing,Sales & Related Occupations,1,Some College,15,100,10232,100
Manufacturing,Sales & Related Occupations,1,Bachelors Degree or more,15,91,8090,91
Manufacturing,Office & Administrative Support Occupations,0,Less than High School,15,757,81710,757
Manufacturing,Office & Administrative Support Occupations,0,High School,15,4839,472824,4839
Manufacturing,Office & Administrative Support Occupations,0,Some College,15,5591,542585,5591
Manufacturing,Office & Administrative Support Occupations,0,Bachelors Degree or more,15,2613,256405,2613
Manufacturing,Office & Administrative Support Occupations,1,Less than High School,15,75,6268,75
Manufacturing,Office & Administrative Support Occupations,1,High School,15,316,30688,316
Manufacturing,Office & Administrative Support Occupations,1,Some College,15,320,27439,320
Manufacturing,Office & Administrative Support Occupations,1,Bachelors Degree or more,15,86,7736,86
Manufacturing,"Farming, Fishing, & Forestry Occupations",0,Less than High School,15,71,8472,71
Manufacturing,"Farming, Fishing, & Forestry Occupations",0,High School,15,84,6973,84
Manufacturing,"Farming, Fishing, & Forestry Occupations",0,Some College,15,35,3111,35
Manufacturing,"Farming, Fishing, & Forestry Occupations",0,Bachelors Degree or more,15,7,584,7
Manufacturing,"Farming, Fishing, & Forestry Occupations",1,Less than High School,15,6,291,6
Manufacturing,"Farming, Fishing, & Forestry Occupations",1,High School,15,1,60,1
Manufacturing,"Farming, Fishing, & Forestry Occupations",1,Some College,15,4,94,4
Manufacturing,"Farming, Fishing, & Forestry Occupations",1,Bachelors Degree or more,15,1,73,1
Manufacturing,Construction & Extraction Occupations,0,Less than High School,15,347,42847,347
Manufacturing,Construction & Extraction Occupations,0,High School,15,1082,113300,1082
Manufacturing,Construction & Extraction Occupations,0,Some College,15,1036,102869,1036
Manufacturing,Construction & Extraction Occupations,0,Bachelors Degree or more,15,141,16428,141
Manufacturing,Construction & Extraction Occupations,1,Less than High School,15,30,2811,30
Manufacturing,Construction & Extraction Occupations,1,High School,15,86,7419,86
Manufacturing,Construction & Extraction Occupations,1,Some College,15,97,9332,97
Manufacturing,Construction & Extraction Occupations,1,Bachelors Degree or more,15,12,1162,12
Manufacturing,"Installation, Maintenance, & Repair Occupations",0,Less than High School,15,598,62385,598
Manufacturing,"Installation, Maintenance, & Repair Occupations",0,High School,15,2554,240950,2554
Manufacturing,"Installation, Maintenance, & Repair Occupations",0,Some College,15,2809,276344,2809
Manufacturing,"Installation, Maintenance, & Repair Occupations",0,Bachelors Degree or more,15,442,48292,442
Manufacturing,"Installation, Maintenance, & Repair Occupations",1,Less than High School,15,61,4616,61
Manufacturing,"Installation, Maintenance, & Repair Occupations",1,High School,15,235,23066,235
Manufacturing,"Installation, Maintenance, & Repair Occupations",1,Some College,15,234,22052,234
Manufacturing,"Installation, Maintenance, & Repair Occupations",1,Bachelors Degree or more,15,28,2403,28
Manufacturing,Production Occupations,0,Less than High School,15,8989,1044012,8989
Manufacturing,Production Occupations,0,High School,15,25067,2553766,25067
Manufacturing,Production Occupations,0,Some College,15,16664,1737388,16664
Manufacturing,Production Occupations,0,Bachelors Degree or more,15,3972,405947,3972
Manufacturing,Production Occupations,1,Less than High School,15,966,91545,966
Manufacturing,Production Occupations,1,High School,15,1967,178488,1967
Manufacturing,Production Occupations,1,Some College,15,1209,112876,1209
Manufacturing,Production Occupations,1,Bachelors Degree or more,15,194,18174,194
Manufacturing,Transportation & Material Moving Occupations,0,Less than High School,15,2183,252645,2183
Manufacturing,Transportation & Material Moving Occupations,0,High School,15,6207,613136,6207
Manufacturing,Transportation & Material Moving Occupations,0,Some College,15,2867,287495,2867
Manufacturing,Transportation & Material Moving Occupations,0,Bachelors Degree or more,15,456,48891,456
Manufacturing,Transportation & Material Moving Occupations,1,Less than High School,15,257,24853,257
Manufacturing,Transportation & Material Moving Occupations,1,High School,15,511,43863,511
Manufacturing,Transportation & Material Moving Occupations,1,Some College,15,209,17567,209
Manufacturing,Transportation & Material Moving Occupations,1,Bachelors Degree or more,15,25,2195,25
Wholesale Trade,Management Occupations,0,Less than High School,15,87,9724,87
Wholesale Trade,Management Occupations,0,High School,15,509,53653,509
Wholesale Trade,Management Occupations,0,Some College,15,901,84644,901
Wholesale Trade,Management Occupations,0,Bachelors Degree or more,15,1770,173351,1770
Wholesale Trade,Management Occupations,1,Less than High School,15,9,930,9
Wholesale Trade,Management Occupations,1,High School,15,30,2671,30
Wholesale Trade,Management Occupations,1,Some College,15,38,3232,38
Wholesale Trade,Management Occupations,1,Bachelors Degree or more,15,54,5356,54
Wholesale Trade,Business & Financial Operations Occupations,0,Less than High School,15,58,6080,58
Wholesale Trade,Business & Financial Operations Occupations,0,High School,15,327,33993,327
Wholesale Trade,Business & Financial Operations Occupations,0,Some College,15,659,64492,659
Wholesale Trade,Business & Financial Operations Occupations,0,Bachelors Degree or more,15,1161,118836,1161
Wholesale Trade,Business & Financial Operations Occupations,1,Less than High School,15,6,426,6
Wholesale Trade,Business & Financial Operations Occupations,1,High School,15,17,1277,17
Wholesale Trade,Business & Financial Operations Occupations,1,Some College,15,34,2264,34
Wholesale Trade,Business & Financial Operations Occupations,1,Bachelors Degree or more,15,40,3293,40
Wholesale Trade,Computer & Mathematical Occupations,0,Less than High School,15,5,447,5
Wholesale Trade,Computer & Mathematical Occupations,0,High School,15,46,5543,46
Wholesale Trade,Computer & Mathematical Occupations,0,Some College,15,247,25220,247
Wholesale Trade,Computer & Mathematical Occupations,0,Bachelors Degree or more,15,391,42370,391
Wholesale Trade,Computer & Mathematical Occupations,1,High School,15,1,132,1
Wholesale Trade,Computer & Mathematical Occupations,1,Some College,15,15,1440,15
