MajorOcc,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
,0,0,Asian only,Some College,15,7852,836012,7852
,0,0,Asian only,Bachelors Degree or more,15,19387,2018417,19387
,0,0,Some other race(s),Less than High School,15,6555,832156,6555
,0,0,Some other race(s),High School,15,9511,1118356,9511
,0,0,Some other race(s),Some College,15,13984,1572096,13984
,0,0,Some other race(s),Bachelors Degree or more,15,8679,935955,8679
,0,1,White only,Less than High School,15,41859,4871243,41859
,0,1,White only,High School,15,143696,14776657,143696
,0,1,White only,Some College,15,168309,17090292,168309
,0,1,White only,Bachelors Degree or more,15,190511,18428547,190511
,0,1,Black/African American only,Less than High School,15,4950,617426,4950
,0,1,Black/African American only,High School,15,16741,2299654,16741
,0,1,Black/African American only,Some College,15,19000,2557539,19000
,0,1,Black/African American only,Bachelors Degree or more,15,11407,1451244,11407
,0,1,Asian only,Less than High School,15,2902,317296,2902
,0,1,Asian only,High School,15,4535,535569,4535
,0,1,Asian only,Some College,15,7773,844858,7773
,0,1,Asian only,Bachelors Degree or more,15,21525,2282341,21525
,0,1,Some other race(s),Less than High School,15,12029,1637623,12029
,0,1,Some other race(s),High School,15,13404,1690821,13404
,0,1,Some other race(s),Some College,15,13178,1553802,13178
,0,1,Some other race(s),Bachelors Degree or more,15,7344,832338,7344
,1,0,White only,Less than High School,15,3003,292743,3003
,1,0,White only,High School,15,9162,834012,9162
,1,0,White only,Some College,15,11015,1036868,11015
,1,0,White only,Bachelors Degree or more,15,7082,642774,7082
,1,0,Black/African American only,Less than High School,15,745,74314,745
,1,0,Black/African American only,High School,15,1524,161735,1524
,1,0,Black/African American only,Some College,15,1976,218243,1976
,1,0,Black/African American only,Bachelors Degree or more,15,897,93732,897
,1,0,Asian only,Less than High School,15,195,19030,195
,1,0,Asian only,High School,15,207,22258,207
,1,0,Asian only,Some College,15,325,30006,325
,1,0,Asian only,Bachelors Degree or more,15,389,35662,389
,1,0,Some other race(s),Less than High School,15,593,63268,593
,1,0,Some other race(s),High School,15,701,72061,701
,1,0,Some other race(s),Some College,15,1080,106116,1080
,1,0,Some other race(s),Bachelors Degree or more,15,403,39193,403
,1,1,White only,Less than High School,15,4923,479223,4923
,1,1,White only,High School,15,12496,1154202,12496
,1,1,White only,Some College,15,12433,1169805,12433
,1,1,White only,Bachelors Degree or more,15,8892,796743,8892
,1,1,Black/African American only,Less than High School,15,742,74086,742
,1,1,Black/African American only,High School,15,1385,153136,1385
,1,1,Black/African American only,Some College,15,1252,142039,1252
,1,1,Black/African American only,Bachelors Degree or more,15,509,54566,509
,1,1,Asian only,Less than High School,15,161,16994,161
,1,1,Asian only,High School,15,224,22317,224
,1,1,Asian only,Some College,15,334,33982,334
,1,1,Asian only,Bachelors Degree or more,15,483,45714,483
,1,1,Some other race(s),Less than High School,15,831,94933,831
,1,1,Some other race(s),High School,15,928,95877,928
,1,1,Some other race(s),Some College,15,928,92352,928
,1,1,Some other race(s),Bachelors Degree or more,15,420,44349,420
Management Occupations,,,,,16,146146,14298341,146146
Business & Financial Operations Occupations,,,,,16,69701,6986607,69701
Computer & Mathematical Occupations,,,,,16,37981,3882052,37981
Architecture & Engineering Occupations,,,,,16,27332,2674826,27332
"Life, Physical, & Social Science Occupations",,,,,16,13108,1244612,13108
Community & Social Services Occupations,,,,,16,24444,2381607,24444
Legal Occupations,,,,,16,17509,1685124,17509
"Education, Training, & Library Occupations",,,,,16,93084,8803789,93084
"Arts, Design, Entertainment, Sports, & Media Occupations",,,,,16,27261,2773230,27261
Healthcare Practitioners & Technical Occupations,,,,,16,82348,8135935,82348
Healthcare Support Occupations,,,,,16,33949,3758298,33949
Protective Service Occupations,,,,,16,30663,3187237,30663
Food Preparation & Serving Related Occupations,,,,,16,66801,8042197,66801
Building & Grounds Cleaning & Maintenance Occupations,,,,,16,51133,5772327,51133
Personal Care & Service Occupations,,,,,16,49306,5296016,49306
Sales & Related Occupations,,,,,16,142111,15350806,142111
Office & Administrative Support Occupations,,,,,16,190380,19280063,190380
"Farming, Fishing, & Forestry Occupations",,,,,16,9649,989715,9649
Construction & Extraction Occupations,,,,,16,64631,7225690,64631
"Installation, Maintenance, & Repair Occupations",,,,,16,45701,4728870,45701
Production Occupations,,,,,16,83422,8702675,83422
Transportation & Material Moving Occupations,,,,,16,83134,8891696,83134
Military Specific Occupations,,,,,16,5609,535274,5609
Management Occupations,,,,Less than High School,17,4350,454926,4350
Management Occupations,,,,High School,17,21165,2087693,21165
Management Occupations,,,,Some College,17,39267,3877399,39267
Management Occupations,,,,Bachelors Degree or more,17,81364,7878323,81364
Business & Financial Operations Occupations,,,,Less than High School,17,688,70830,688
Business & Financial Operations Occupations,,,,High School,17,6112,622403,6112
Business & Financial Operations Occupations,,,,Some College,17,16874,1713701,16874
Business & Financial Operations Occupations,,,,Bachelors Degree or more,17,46027,4579673,46027
Computer & Mathematical Occupations,,,,Less than High School,17,233,25874,233
Computer & Mathematical Occupations,,,,High School,17,2046,224053,2046
Computer & Mathematical Occupations,,,,Some College,17,10246,1050809,10246
Computer & Mathematical Occupations,,,,Bachelors Degree or more,17,25456,2581316,25456
Architecture & Engineering Occupations,,,,Less than High School,17,239,26949,239
Architecture & Engineering Occupations,,,,High School,17,1971,195135,1971
Architecture & Engineering Occupations,,,,Some College,17,6988,665969,6988
Architecture & Engineering Occupations,,,,Bachelors Degree or more,17,18134,1786773,18134
"Life, Physical, & Social Science Occupations",,,,Less than High School,17,108,11624,108
