FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
56,,0,5,0.3491784376,24226,69380,698,WY
56,,1,5,0.5468875454,159386,291442,2756,WY
1,0,,6,0.4848801134,1229222,2535105,23585,AL
1,1,,6,0.473638432,199847,421940,4431,AL
2,0,,6,0.5238460065,224270,428122,3630,AK
2,1,,6,0.5595163009,25726,45979,429,AK
4,0,,6,0.4926909428,1739875,3531372,33592,AZ
4,1,,6,0.5063174733,196557,388209,4085,AZ
5,0,,6,0.4894257418,733033,1497741,14122,AR
5,1,,6,0.4991271073,134089,268647,2863,AR
6,0,,6,0.4981558912,11015646,22112849,207316,CA
6,1,,6,0.5047109279,1005259,1991752,20005,CA
8,0,,6,0.5008429452,1519560,3034005,29114,CO
8,1,,6,0.5340997496,163395,305926,3040,CO
9,0,,6,0.4889125003,1007722,2061150,19978,CT
9,1,,6,0.4981648279,91480,183634,1922,CT
10,0,,6,0.4840481987,245365,506902,4569,DE
10,1,,6,0.4407415796,27244,61814,593,DE
11,0,,6,0.4745665503,197759,416715,4114,DC
11,1,,6,0.4621666708,18562,40163,419,DC
12,0,,6,0.4863335161,5111143,10509543,97771,FL
12,1,,6,0.5005904271,600274,1199132,12127,FL
13,0,,6,0.4832417512,2670132,5525458,50891,GA
13,1,,6,0.4779594497,322723,675210,6830,GA
15,0,,6,0.5119568878,411920,804599,7939,HI
15,1,,6,0.5446666565,35759,65653,659,HI
16,0,,6,0.4939943532,417115,844372,7834,ID
16,1,,6,0.5325989315,56325,105755,1137,ID
17,0,,6,0.4912334052,3589358,7306828,70061,IL
17,1,,6,0.503219543,363870,723084,7481,IL
18,0,,6,0.4921926908,1732693,3520355,34340,IN
18,1,,6,0.4927145652,242792,492764,5134,IN
19,0,,6,0.498857148,838302,1680445,16567,IA
19,1,,6,0.5062695925,96254,190124,1881,IA
20,0,,6,0.5018698569,786815,1567767,15006,KS
20,1,,6,0.5040594715,89774,178102,1891,KS
21,0,,6,0.4949876925,1130541,2283978,22450,KY
21,1,,6,0.4765059897,200001,419724,4221,KY
22,0,,6,0.4791061795,1185313,2474009,22513,LA
22,1,,6,0.5085764992,187414,368507,3725,LA
23,0,,6,0.485208079,343341,707616,6608,ME
23,1,,6,0.5308024102,64484,121484,1145,ME
24,0,,6,0.4825661128,1654531,3428610,32956,MD
24,1,,6,0.4896717319,157641,321932,3229,MD
25,0,,6,0.4857120274,1886557,3884106,38733,MA
25,1,,6,0.4880614961,191999,393391,3995,MA
26,0,,6,0.48594432,2589607,5329020,51399,MI
26,1,,6,0.5224840227,406154,777352,8010,MI
27,0,,6,0.4962429869,1521943,3066931,29576,MN
27,1,,6,0.5187259504,154488,297822,3111,MN
28,0,,6,0.4733623827,718397,1517647,14244,MS
28,1,,6,0.5116231155,144026,281508,2883,MS
29,0,,6,0.4860447006,1567848,3225728,31230,MO
29,1,,6,0.5159766874,236646,458637,4811,MO
30,0,,6,0.4940463063,271059,548651,5250,MT
30,1,,6,0.5435516449,39289,72282,678,MT
31,0,,6,0.496820086,513629,1033833,9880,NE
31,1,,6,0.5360113996,51158,95442,1033,NE
32,0,,6,0.5050235517,773135,1530889,14174,NV
32,1,,6,0.4938786142,96696,195789,1842,NV
33,0,,6,0.4933644559,373692,757436,7442,NH
33,1,,6,0.5254863882,44917,85477,830,NH
34,0,,6,0.4911863471,2503009,5095844,49250,NJ
34,1,,6,0.4881284455,214366,439159,4446,NJ
35,0,,6,0.4903202826,534100,1089288,9818,NM
35,1,,6,0.52157921,84657,162309,1469,NM
36,0,,6,0.4866711771,5540253,11383976,108888,NY
36,1,,6,0.4916566002,538068,1094398,11785,NY
37,0,,6,0.4847152455,2609497,5383567,51099,NC
37,1,,6,0.4924690736,348773,708213,7279,NC
38,0,,6,0.5170000237,217900,421470,3979,ND
38,1,,6,0.5806515301,20587,35455,364,ND
39,0,,6,0.4885438957,3049235,6241476,61783,OH
39,1,,6,0.5049410204,426352,844360,8763,OH
40,0,,6,0.4918560019,984135,2000860,18168,OK
40,1,,6,0.4959225879,156108,314783,3229,OK
41,0,,6,0.4957155153,1056863,2131995,20557,OR
41,1,,6,0.4929972616,154107,312592,2886,OR
42,0,,6,0.4908873022,3440042,7007804,68416,PA
42,1,,6,0.4911119458,418393,851930,8487,PA
44,0,,6,0.4933281141,298686,605451,6017,RI
44,1,,6,0.470213754,31391,66759,683,RI
45,0,,6,0.4795297047,1229354,2563666,24095,SC
45,1,,6,0.5048132609,183487,363475,3770,SC
46,0,,6,0.505043005,227184,449831,4359,SD
46,1,,6,0.5328869565,30641,57500,541,SD
47,0,,6,0.4872962209,1678869,3445274,33203,TN
47,1,,6,0.4851249177,270315,557207,5723,TN
48,0,,6,0.492857406,7171507,14550876,133399,TX
48,1,,6,0.5023798892,813450,1619193,16273,TX
49,0,,6,0.499757323,778435,1557626,14827,UT
49,1,,6,0.5134366451,75640,147321,1495,UT
50,0,,6,0.4902144978,172731,352358,3569,VT
50,1,,6,0.5096293605,22440,44032,420,VT
51,0,,6,0.4903157276,2328276,4748524,46177,VA
51,1,,6,0.4928433474,232213,471170,4852,VA
53,0,,6,0.4988541675,1953478,3915930,37169,WA
53,1,,6,0.5329722735,253698,476006,4786,WA
54,0,,6,0.490070731,453065,924489,8788,WV
54,1,,6,0.5248690661,109737,209075,2000,WV
55,0,,6,0.4963253529,1580087,3183571,31351,WI
55,1,,6,0.5202876928,188661,362609,3559,WI
56,0,,6,0.5047928387,162407,321730,3060,WY
56,1,,6,0.5424383506,21205,39092,394,WY
1,0,0,7,0.3437168791,194905,567051,5410,AL
1,0,1,7,0.5255531606,1034317,1968054,18175,AL
1,1,0,7,0.434676601,121230,278897,2945,AL
1,1,1,7,0.5496039652,78617,143043,1486,AL
2,0,0,7,0.3600403052,25012,69470,731,AK
2,0,1,7,0.5555747633,199258,358652,2899,AK
2,1,0,7,0.6265279154,11379,18162,193,AK
2,1,1,7,0.5157637416,14347,27817,236,AK
4,0,0,7,0.3372228091,269410,798908,7758,AZ
4,0,1,7,0.5381461567,1470465,2732464,25834,AZ
4,1,0,7,0.486628423,112399,230975,2455,AZ
4,1,1,7,0.5352404696,84158,157234,1630,AZ
5,0,0,7,0.3433308518,108840,317012,3203,AR
5,0,1,7,0.5286505201,624193,1180729,10919,AR
5,1,0,7,0.4846378137,86929,179369,1945,AR
5,1,1,7,0.5282376397,47160,89278,918,AR
6,0,0,7,0.3330708715,1563017,4692746,45070,CA
6,0,1,7,0.5426276182,9452629,17420103,162246,CA
6,1,0,7,0.478927341,572038,1194415,11966,CA
6,1,1,7,0.543334876,433221,797337,8039,CA
8,0,0,7,0.3288098664,171136,520471,5158,CO
8,0,1,7,0.536465391,1348424,2513534,23956,CO
8,1,0,7,0.4855459965,74273,152968,1553,CO
8,1,1,7,0.582656677,89122,152958,1487,CO
9,0,0,7,0.3413855578,114753,336139,3359,CT
9,0,1,7,0.5176598874,892969,1725011,16619,CT
9,1,0,7,0.4679875354,42351,90496,951,CT
9,1,1,7,0.5274860959,49129,93138,971,CT
10,0,0,7,0.3731589928,36130,96822,888,DE
10,0,1,7,0.5102297113,209235,410080,3681,DE
10,1,0,7,0.4295800399,15272,35551,337,DE
10,1,1,7,0.455850436,11972,26263,256,DE
11,0,0,7,0.4025844802,31154,77385,778,DC
11,0,1,7,0.4909822297,166605,339330,3336,DC
11,1,0,7,0.3859671463,9093,23559,243,DC
11,1,1,7,0.5702842689,9469,16604,176,DC
12,0,0,7,0.347436309,748867,2155408,20417,FL
12,0,1,7,0.52216968,4362276,8354135,77354,FL
12,1,0,7,0.4841660954,358112,739647,7389,FL
12,1,1,7,0.527029174,242162,459485,4738,FL
13,0,0,7,0.336847544,382038,1134157,10687,GA
13,0,1,7,0.5210515061,2288094,4391301,40204,GA
13,1,0,7,0.4548163722,183447,403343,4152,GA
13,1,1,7,0.5122946146,139276,271867,2678,GA
15,0,0,7,0.3611925311,53234,147384,1568,HI
15,0,1,7,0.5457666061,358686,657215,6371,HI
15,1,0,7,0.4979175521,17574,35295,354,HI
15,1,1,7,0.5990183807,18185,30358,305,HI
16,0,0,7,0.2903819576,47485,163526,1594,ID
16,0,1,7,0.5428981003,369630,680846,6240,ID
16,1,0,7,0.4938045451,28574,57865,638,ID
16,1,1,7,0.5794737941,27751,47890,499,ID
17,0,0,7,0.3514957098,450782,1282468,12452,IL
17,0,1,7,0.5209808179,3138576,6024360,57609,IL
17,1,0,7,0.4698547646,188899,402037,4197,IL
17,1,1,7,0.5450011992,174971,321047,3284,IL
18,0,0,7,0.3380695487,218517,646367,6485,IN
18,0,1,7,0.5268553661,1514176,2873988,27855,IN
18,1,0,7,0.464051379,133528,287744,3030,IN
18,1,1,7,0.5329431275,109264,205020,2104,IN
19,0,0,7,0.379494304,95606,251930,2491,IA
19,0,1,7,0.5199077364,742696,1428515,14076,IA
19,1,0,7,0.470709425,45238,96106,980,IA
19,1,1,7,0.5426194984,51016,94018,901,IA
20,0,0,7,0.3293782034,84056,255196,2542,KS
20,0,1,7,0.5354064656,702759,1312571,12464,KS
20,1,0,7,0.4924922991,45886,93171,1027,KS
20,1,1,7,0.5167488903,43888,84931,864,KS
21,0,0,7,0.3596840049,168872,469501,4745,KY
21,0,1,7,0.5299979002,961669,1814477,17705,KY
21,1,0,7,0.4431386528,123076,277737,2826,KY
21,1,1,7,0.5417749512,76925,141987,1395,KY
22,0,0,7,0.3290763506,177049,538018,4906,LA
22,0,1,7,0.5207999417,1008264,1935991,17607,LA
22,1,0,7,0.4750930873,107944,227206,2300,LA
22,1,1,7,0.5624164019,79470,141301,1425,LA
23,0,0,7,0.3758889235,42233,112355,1225,ME
23,0,1,7,0.5058419752,301108,595261,5383,ME
23,1,0,7,0.5233900284,39450,75374,722,ME
23,1,1,7,0.5429191065,25034,46110,423,ME
24,0,0,7,0.3544053016,189262,534027,5345,MD
24,0,1,7,0.5062107392,1465269,2894583,27611,MD
24,1,0,7,0.4833372441,80335,166209,1649,MD
24,1,1,7,0.4964327684,77306,155723,1580,MD
25,0,0,7,0.3659777831,228974,625650,6524,MA
25,0,1,7,0.5087019742,1657583,3258456,32209,MA
25,1,0,7,0.4710355744,106536,226174,2271,MA
25,1,1,7,0.5110903796,85463,167217,1724,MA
26,0,0,7,0.3721107484,383251,1029938,10387,MI
26,0,1,7,0.5132156121,2206356,4299082,41012,MI
26,1,0,7,0.4945310567,239808,484920,5014,MI
26,1,1,7,0.5688365158,166346,292432,2996,MI
27,0,0,7,0.3765106858,156424,415457,4227,MN
27,0,1,7,0.51500373,1365519,2651474,25349,MN
27,1,0,7,0.4909824477,71190,144995,1486,MN
27,1,1,7,0.5450476683,83298,152827,1625,MN
28,0,0,7,0.3616543689,123416,341254,3381,MS
28,0,1,7,0.5057672053,594981,1176393,10863,MS
28,1,0,7,0.4860239044,91494,188250,1935,MS
28,1,1,7,0.5632975187,52532,93258,948,MS
29,0,0,7,0.3503964315,194497,555077,5688,MO
29,0,1,7,0.5142382887,1373351,2670651,25542,MO
29,1,0,7,0.5001227765,138497,276926,2938,MO
29,1,1,7,0.5401379113,98149,181711,1873,MO
30,0,0,7,0.3554596619,36821,103587,1061,MT
30,0,1,7,0.5263018352,234238,445064,4189,MT
30,1,0,7,0.4850764924,19405,40004,356,MT
30,1,1,7,0.6160232976,19884,32278,322,MT
31,0,0,7,0.3290014401,46835,142355,1425,NE
31,0,1,7,0.5236180814,466794,891478,8455,NE
31,1,0,7,0.4801438007,22972,47844,525,NE
31,1,1,7,0.5921677381,28186,47598,508,NE
32,0,0,7,0.3301910801,93417,282918,2705,NV
32,0,1,7,0.5446584897,679718,1247971,11469,NV
32,1,0,7,0.4580993261,45678,99712,967,NV
32,1,1,7,0.5310115845,51018,96077,875,NV
33,0,0,7,0.3658866079,42793,116957,1199,NH
33,0,1,7,0.5166430125,330899,640479,6243,NH
33,1,0,7,0.4611991997,21437,46481,441,NH
33,1,1,7,0.6021130372,23480,38996,389,NH
34,0,0,7,0.341037647,315084,923898,9038,NJ
34,0,1,7,0.5244375167,2187925,4171946,40212,NJ
34,1,0,7,0.465550285,111983,240539,2417,NJ
34,1,1,7,0.5154717551,102383,198620,2029,NJ
35,0,0,7,0.3579268856,92935,259648,2525,NM
35,0,1,7,0.531754737,441165,829640,7293,NM
35,1,0,7,0.5174570366,48568,93859,874,NM
35,1,1,7,0.5272315559,36089,68450,595,NM
36,0,0,7,0.3718995376,856096,2301955,22458,NY
36,0,1,7,0.5157615249,4684157,9082021,86430,NY
36,1,0,7,0.4688433375,311432,664256,7211,NY
36,1,1,7,0.52688647,226636,430142,4574,NY
37,0,0,7,0.341904704,348937,1020568,10342,NC
37,0,1,7,0.518120678,2260560,4362999,40757,NC
37,1,0,7,0.464371776,202728,436564,4537,NC
37,1,1,7,0.5376239191,146045,271649,2742,NC
38,0,0,7,0.358593435,22231,61995,676,ND
38,0,1,7,0.5443187982,195669,359475,3303,ND
38,1,0,7,0.5467762326,7785,14238,177,ND
38,1,1,7,0.6033840788,12802,21217,187,ND
39,0,0,7,0.3618356057,406912,1124577,11509,OH
39,0,1,7,0.5163914707,2642323,5116899,50274,OH
39,1,0,7,0.4883425086,242611,496805,5216,OH
39,1,1,7,0.5286674052,183741,347555,3547,OH
40,0,0,7,0.2962740035,117150,395411,3933,OK
40,0,1,7,0.5400264973,866985,1605449,14235,OK
40,1,0,7,0.4525288231,83211,183880,1924,OK
40,1,1,7,0.5568779936,72897,130903,1305,OK
41,0,0,7,0.3734896272,154181,412812,4201,OR
41,0,1,7,0.5250645219,902682,1719183,16356,OR
41,1,0,7,0.4567286949,81511,178467,1701,OR
41,1,1,7,0.5412562908,72596,134125,1185,OR
42,0,0,7,0.3731888664,478480,1282139,12983,PA
42,0,1,7,0.5172433246,2961562,5725665,55433,PA
42,1,0,7,0.4717392038,237624,503719,5011,PA
42,1,1,7,0.5191363857,180769,348211,3476,PA
44,0,0,7,0.3909318653,37920,96999,1019,RI
44,0,1,7,0.5128625711,260766,508452,4998,RI
44,1,0,7,0.4541926259,17788,39164,377,RI
44,1,1,7,0.4929516217,13603,27595,306,RI
45,0,0,7,0.3404326538,174932,513852,5086,SC
45,0,1,7,0.5143988674,1054422,2049814,19009,SC
45,1,0,7,0.476079305,106856,224450,2387,SC
45,1,1,7,0.551203021,76631,139025,1383,SC
46,0,0,7,0.4206930131,25921,61615,648,SD
46,0,1,7,0.5184304614,201263,388216,3711,SD
46,1,0,7,0.4948411671,13381,27041,265,SD
46,1,1,7,0.5666633836,17260,30459,276,SD
47,0,0,7,0.3305333537,218311,660481,6781,TN
47,0,1,7,0.5244763255,1460558,2784793,26422,TN
47,1,0,7,0.4513577584,160696,356028,3684,TN
47,1,1,7,0.5448829152,109619,201179,2039,TN
48,0,0,7,0.2849266876,827722,2905035,27564,TX
48,0,1,7,0.5447253659,6343785,11645841,105835,TX
48,1,0,7,0.456339414,405359,888284,9218,TX
48,1,1,7,0.5583335272,408091,730909,7055,TX
49,0,0,7,0.255940156,78385,306263,3094,UT
49,0,1,7,0.5594299975,700050,1251363,11733,UT
49,1,0,7,0.4635202622,35641,76892,772,UT
49,1,1,7,0.5679336637,39999,70429,723,UT
50,0,0,7,0.4058293777,24965,61516,640,VT
50,0,1,7,0.508062797,147766,290842,2929,VT
50,1,0,7,0.4764603313,12023,25234,243,VT
50,1,1,7,0.5541546973,10417,18798,177,VT
51,0,0,7,0.3368621484,285363,847121,8594,VA
51,0,1,7,0.5236354716,2042913,3901403,37583,VA
51,1,0,7,0.4596429761,122795,267153,2769,VA
51,1,1,7,0.5363180519,109418,204017,2083,VA
53,0,0,7,0.336142121,251996,749671,7419,WA
53,0,1,7,0.5373792858,1701482,3166259,29750,WA
53,1,0,7,0.4899941265,129307,263895,2672,WA
53,1,1,7,0.5864429473,124391,212111,2114,WA
54,0,0,7,0.3102047426,65134,209971,2070,WV
54,0,1,7,0.5429268402,387931,714518,6718,WV
54,1,0,7,0.5198684905,76848,147822,1411,WV
54,1,1,7,0.5369369664,32889,61253,589,WV
55,0,0,7,0.3774136322,180409,478014,4958,WI
55,0,1,7,0.5173345082,1399678,2705557,26393,WI
55,1,0,7,0.477700392,87862,183927,1860,WI
55,1,1,7,0.5641250937,100799,178682,1699,WI
56,0,0,7,0.3174799977,16388,51619,533,WY
56,0,1,7,0.540588869,146019,270111,2527,WY
56,1,0,7,0.4413039806,7838,17761,165,WY
56,1,1,7,0.6266466645,13367,21331,229,WY
