FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
44,1,,6,0.13548735,9045,66759,683,RI
45,0,,6,0.05632247,144392,2563666,24095,SC
45,1,,6,0.024571153,8931,363475,3770,SC
46,0,,6,0.031105015,13992,449831,4359,SD
46,1,,6,0.022313044,1283,57500,541,SD
47,0,,6,0.049205666,169527,3445274,33203,TN
47,1,,6,0.022210776,12376,557207,5723,TN
48,0,,6,0.373215812,5430617,14550876,133399,TX
48,1,,6,0.328994135,532705,1619193,16273,TX
49,0,,6,0.131116841,204231,1557626,14827,UT
49,1,,6,0.100440535,14797,147321,1495,UT
50,0,,6,0.014150381,4986,352358,3569,VT
50,1,,6,0.015556868,685,44032,420,VT
51,0,,6,0.09111526,432663,4748524,46177,VA
51,1,,6,0.039885816,18793,471170,4852,VA
53,0,,6,0.111656746,437240,3915930,37169,WA
53,1,,6,0.081795188,38935,476006,4786,WA
54,0,,6,0.013930939,12879,924489,8788,WV
54,1,,6,0.006729643,1407,209075,2000,WV
55,0,,6,0.057763436,183894,3183571,31351,WI
55,1,,6,0.060594194,21972,362609,3559,WI
56,0,,6,0.081869891,26340,321730,3060,WY
56,1,,6,0.079274532,3099,39092,394,WY
1,0,0,7,0.048544135,27527,567051,5410,AL
1,0,1,7,0.03786888,74528,1968054,18175,AL
1,1,0,7,0.01400517,3906,278897,2945,AL
1,1,1,7,0.033479443,4789,143043,1486,AL
2,0,0,7,0.042752267,2970,69470,731,AK
2,0,1,7,0.066794553,23956,358652,2899,AK
2,1,0,7,0.060951437,1107,18162,193,AK
2,1,1,7,0.084552612,2352,27817,236,AK
4,0,0,7,0.33049112,264032,798908,7758,AZ
4,0,1,7,0.290658541,794214,2732464,25834,AZ
4,1,0,7,0.251763178,58151,230975,2455,AZ
4,1,1,7,0.246963125,38831,157234,1630,AZ
5,0,0,7,0.073429397,23278,317012,3203,AR
5,0,1,7,0.069239428,81753,1180729,10919,AR
5,1,0,7,0.023348516,4188,179369,1945,AR
5,1,1,7,0.047144873,4209,89278,918,AR
6,0,0,7,0.381119285,1788496,4692746,45070,CA
6,0,1,7,0.37363476,6508756,17420103,162246,CA
6,1,0,7,0.324658515,387777,1194415,11966,CA
6,1,1,7,0.342495081,273084,797337,8039,CA
8,0,0,7,0.214703605,111747,520471,5158,CO
8,0,1,7,0.187378408,470982,2513534,23956,CO
8,1,0,7,0.201643481,30845,152968,1553,CO
8,1,1,7,0.195753083,29942,152958,1487,CO
9,0,0,7,0.161864586,54409,336139,3359,CT
9,0,1,7,0.137334776,236904,1725011,16619,CT
9,1,0,7,0.16147675,14613,90496,951,CT
9,1,1,7,0.180495609,16811,93138,971,CT
10,0,0,7,0.113961703,11034,96822,888,DE
10,0,1,7,0.079894167,32763,410080,3681,DE
10,1,0,7,0.099715901,3545,35551,337,DE
10,1,1,7,0.076190839,2001,26263,256,DE
11,0,0,7,0.084796795,6562,77385,778,DC
11,0,1,7,0.112733917,38254,339330,3336,DC
11,1,0,7,0.034891124,822,23559,243,DC
11,1,1,7,0.074500121,1237,16604,176,DC
12,0,0,7,0.247512304,533490,2155408,20417,FL
12,0,1,7,0.259926492,2171461,8354135,77354,FL
12,1,0,7,0.179876346,133045,739647,7389,FL
12,1,1,7,0.184406455,84732,459485,4738,FL
13,0,0,7,0.088026614,99836,1134157,10687,GA
13,0,1,7,0.092764536,407357,4391301,40204,GA
13,1,0,7,0.036926388,14894,403343,4152,GA
13,1,1,7,0.056277518,15300,271867,2678,GA
15,0,0,7,0.07880774,11615,147384,1568,HI
15,0,1,7,0.089801663,59019,657215,6371,HI
15,1,0,7,0.120158663,4241,35295,354,HI
15,1,1,7,0.130377495,3958,30358,305,HI
16,0,0,7,0.130566393,21351,163526,1594,ID
16,0,1,7,0.109773723,74739,680846,6240,ID
16,1,0,7,0.076384689,4420,57865,638,ID
16,1,1,7,0.081144289,3886,47890,499,ID
17,0,0,7,0.180676633,231712,1282468,12452,IL
17,0,1,7,0.159498602,960877,6024360,57609,IL
17,1,0,7,0.12057348,48475,402037,4197,IL
17,1,1,7,0.119144549,38251,321047,3284,IL
18,0,0,7,0.073127186,47267,646367,6485,IN
18,0,1,7,0.060381602,173536,2873988,27855,IN
18,1,0,7,0.032170958,9257,287744,3030,IN
18,1,1,7,0.036918349,7569,205020,2104,IN
19,0,0,7,0.062755527,15810,251930,2491,IA
