FIPS,Dis1,LaborForce,raceX,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
4,0,0,White only,15,5654,610654,798908,7758,0.764360853,AZ
4,0,0,Black/African American only,15,254,33906,798908,7758,0.042440431,AZ
4,0,0,Native American only,15,920,51431,798908,7758,0.064376624,AZ
4,0,0,Asian only,15,315,33056,798908,7758,0.041376479,AZ
4,0,0,Some other race(s),15,615,69861,798908,7758,0.087445613,AZ
4,0,1,White only,15,20252,2171316,2732464,25834,0.794636636,AZ
4,0,1,Black/African American only,15,929,120647,2732464,25834,0.044153189,AZ
4,0,1,Native American only,15,1521,94131,2732464,25834,0.034449127,AZ
4,0,1,Asian only,15,942,96352,2732464,25834,0.035261947,AZ
4,0,1,Some other race(s),15,2190,250018,2732464,25834,0.091499101,AZ
4,1,,White only,13,2999,299652,388209,4085,0.771883187,AZ
4,1,,Black/African American only,13,203,20648,388209,4085,0.053187845,AZ
4,1,,Native American only,13,468,25312,388209,4085,0.065201992,AZ
4,1,,Asian only,13,76,6843,388209,4085,0.017627103,AZ
4,1,,Some other race(s),13,339,35754,388209,4085,0.092099874,AZ
4,1,0,White only,15,1805,179683,230975,2455,0.777932677,AZ
4,1,0,Black/African American only,15,127,12526,230975,2455,0.054230977,AZ
4,1,0,Native American only,15,295,15443,230975,2455,0.06686005,AZ
4,1,0,Asian only,15,26,2316,230975,2455,0.010027059,AZ
4,1,0,Some other race(s),15,202,21007,230975,2455,0.090949237,AZ
4,1,1,White only,15,1194,119969,157234,1630,0.762996553,AZ
4,1,1,Black/African American only,15,76,8122,157234,1630,0.051655494,AZ
4,1,1,Native American only,15,173,9869,157234,1630,0.062766323,AZ
4,1,1,Asian only,15,50,4527,157234,1630,0.028791483,AZ
4,1,1,Some other race(s),15,137,14747,157234,1630,0.093790147,AZ
5,,,White only,9,13695,1377838,1766388,16985,0.780031341,AR
5,,,Black/African American only,9,2371,279123,1766388,16985,0.158019076,AR
5,,,Native American only,9,116,12084,1766388,16985,0.006841079,AR
5,,,Asian only,9,246,25596,1766388,16985,0.014490588,AR
5,,,Some other race(s),9,557,71747,1766388,16985,0.040617916,AR
5,,0,White only,11,4007,381409,496381,5148,0.768379531,AR
5,,0,Black/African American only,11,861,84963,496381,5148,0.171164892,AR
5,,0,Native American only,11,49,4671,496381,5148,0.00941011,AR
5,,0,Asian only,11,73,6994,496381,5148,0.014089983,AR
5,,0,Some other race(s),11,158,18344,496381,5148,0.036955484,AR
5,,1,White only,11,9688,996429,1270007,11837,0.784585439,AR
5,,1,Black/African American only,11,1510,194160,1270007,11837,0.152881047,AR
5,,1,Native American only,11,67,7413,1270007,11837,0.005836976,AR
5,,1,Asian only,11,173,18602,1270007,11837,0.014647163,AR
5,,1,Some other race(s),11,399,53403,1270007,11837,0.042049375,AR
5,0,,White only,13,11500,1173261,1497741,14122,0.783353731,AR
5,0,,Black/African American only,13,1849,229266,1497741,14122,0.15307453,AR
5,0,,Native American only,13,86,9236,1497741,14122,0.00616662,AR
5,0,,Asian only,13,231,24304,1497741,14122,0.016227105,AR
5,0,,Some other race(s),13,456,61674,1497741,14122,0.041178014,AR
5,0,0,White only,15,2529,245365,317012,3203,0.773992783,AR
5,0,0,Black/African American only,15,483,50160,317012,3203,0.158227449,AR
5,0,0,Native American only,15,26,2642,317012,3203,0.008334069,AR
5,0,0,Asian only,15,65,6255,317012,3203,0.019731114,AR
5,0,0,Some other race(s),15,100,12590,317012,3203,0.039714585,AR
5,0,1,White only,15,8971,927896,1180729,10919,0.785867036,AR
5,0,1,Black/African American only,15,1366,179106,1180729,10919,0.151691032,AR
5,0,1,Native American only,15,60,6594,1180729,10919,0.005584685,AR
5,0,1,Asian only,15,166,18049,1180729,10919,0.015286319,AR
5,0,1,Some other race(s),15,356,49084,1180729,10919,0.041570928,AR
5,1,,White only,13,2195,204577,268647,2863,0.761508597,AR
5,1,,Black/African American only,13,522,49857,268647,2863,0.185585545,AR
5,1,,Native American only,13,30,2848,268647,2863,0.010601272,AR
5,1,,Asian only,13,15,1292,268647,2863,0.004809285,AR
5,1,,Some other race(s),13,101,10073,268647,2863,0.037495301,AR
5,1,0,White only,15,1478,136044,179369,1945,0.75845882,AR
5,1,0,Black/African American only,15,378,34803,179369,1945,0.194030184,AR
5,1,0,Native American only,15,23,2029,179369,1945,0.011311877,AR
5,1,0,Asian only,15,8,739,179369,1945,0.004119998,AR
5,1,0,Some other race(s),15,58,5754,179369,1945,0.032079122,AR
5,1,1,White only,15,717,68533,89278,918,0.767635924,AR
5,1,1,Black/African American only,15,144,15054,89278,918,0.168619369,AR
5,1,1,Native American only,15,7,819,89278,918,0.009173593,AR
5,1,1,Asian only,15,7,553,89278,918,0.006194135,AR
5,1,1,Some other race(s),15,43,4319,89278,918,0.04837698,AR
6,,,White only,9,141971,14870133,24104601,227321,0.616900193,CA
6,,,Black/African American only,9,11848,1435163,24104601,227321,0.059538965,CA
6,,,Native American only,9,2177,181975,24104601,227321,0.007549389,CA
6,,,Asian only,9,35681,3520539,24104601,227321,0.146052573,CA
6,,,Some other race(s),9,35644,4096791,24104601,227321,0.169958881,CA
6,,0,White only,11,35052,3597601,5887161,57036,0.611092681,CA
6,,0,Black/African American only,11,3495,409588,5887161,57036,0.069573093,CA
6,,0,Native American only,11,751,58656,5887161,57036,0.009963376,CA
6,,0,Asian only,11,9005,875567,5887161,57036,0.148724827,CA
6,,0,Some other race(s),11,8733,945749,5887161,57036,0.160646023,CA
6,,1,White only,11,106919,11272532,18217440,170285,0.618776952,CA
6,,1,Black/African American only,11,8353,1025575,18217440,170285,0.056296329,CA
6,,1,Native American only,11,1426,123319,18217440,170285,0.006769283,CA
6,,1,Asian only,11,26676,2644972,18217440,170285,0.145189006,CA
6,,1,Some other race(s),11,26911,3151042,18217440,170285,0.17296843,CA
6,0,,White only,13,128896,13584730,22112849,207316,0.614336488,CA
6,0,,Black/African American only,13,9971,1232609,22112849,207316,0.055741755,CA
6,0,,Native American only,13,1789,150597,22112849,207316,0.006810384,CA
6,0,,Asian only,13,33967,3360728,22112849,207316,0.151980778,CA
