FIPS,Dis1,LaborForce,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
4,1,1,Bachelors Degree or more,15,269,23921,157234,1630,0.152136306,AZ
5,,,Less than High School,9,2078,230671,1766388,16985,0.130589089,AR
5,,,High School,9,5906,615538,1766388,16985,0.348472703,AR
5,,,Some College,9,5659,574401,1766388,16985,0.325183935,AR
5,,,Bachelors Degree or more,9,3342,345778,1766388,16985,0.195754274,AR
5,,0,Less than High School,11,1014,101828,496381,5148,0.205140809,AR
5,,0,High School,11,1924,184617,496381,5148,0.371926,AR
5,,0,Some College,11,1659,154295,496381,5148,0.310839859,AR
5,,0,Bachelors Degree or more,11,551,55641,496381,5148,0.112093332,AR
5,,1,Less than High School,11,1064,128843,1270007,11837,0.101450622,AR
5,,1,High School,11,3982,430921,1270007,11837,0.339306004,AR
5,,1,Some College,11,4000,420106,1270007,11837,0.330790303,AR
5,,1,Bachelors Degree or more,11,2791,290137,1270007,11837,0.228453072,AR
5,0,,Less than High School,13,1442,171327,1497741,14122,0.114390272,AR
5,0,,High School,13,4763,507898,1497741,14122,0.339109365,AR
5,0,,Some College,13,4834,496936,1497741,14122,0.331790343,AR
5,0,,Bachelors Degree or more,13,3083,321580,1497741,14122,0.21471002,AR
5,0,0,Less than High School,15,514,54878,317012,3203,0.173110166,AR
5,0,0,High School,15,1124,111281,317012,3203,0.351030876,AR
5,0,0,Some College,15,1141,107308,317012,3203,0.338498227,AR
5,0,0,Bachelors Degree or more,15,424,43545,317012,3203,0.137360731,AR
5,0,1,Less than High School,15,928,116449,1180729,10919,0.098624663,AR
5,0,1,High School,15,3639,396617,1180729,10919,0.335908579,AR
5,0,1,Some College,15,3693,389628,1180729,10919,0.329989354,AR
5,0,1,Bachelors Degree or more,15,2659,278035,1180729,10919,0.235477404,AR
5,1,,Less than High School,13,636,59344,268647,2863,0.220899545,AR
5,1,,High School,13,1143,107640,268647,2863,0.400674491,AR
5,1,,Some College,13,825,77465,268647,2863,0.288352373,AR
5,1,,Bachelors Degree or more,13,259,24198,268647,2863,0.090073591,AR
5,1,0,Less than High School,15,500,46950,179369,1945,0.261750916,AR
5,1,0,High School,15,800,73336,179369,1945,0.408855488,AR
5,1,0,Some College,15,518,46987,179369,1945,0.261957194,AR
5,1,0,Bachelors Degree or more,15,127,12096,179369,1945,0.067436402,AR
5,1,1,Less than High School,15,136,12394,89278,918,0.138824795,AR
5,1,1,High School,15,343,34304,89278,918,0.384237998,AR
5,1,1,Some College,15,307,30478,89278,918,0.341383096,AR
5,1,1,Bachelors Degree or more,15,132,12102,89278,918,0.135554112,AR
6,,,Less than High School,9,36035,4034917,24104601,227321,0.167391985,CA
6,,,High School,9,46608,5248954,24104601,227321,0.217757349,CA
6,,,Some College,9,75269,8014503,24104601,227321,0.332488515,CA
6,,,Bachelors Degree or more,9,69409,6806227,24104601,227321,0.282362152,CA
6,,0,Less than High School,11,13110,1398894,5887161,57036,0.237617758,CA
6,,0,High School,11,13463,1426416,5887161,57036,0.242292677,CA
6,,0,Some College,11,19784,2039770,5887161,57036,0.3464777,CA
6,,0,Bachelors Degree or more,11,10679,1022081,5887161,57036,0.173611865,CA
6,,1,Less than High School,11,22925,2636023,18217440,170285,0.144697773,CA
6,,1,High School,11,33145,3822538,18217440,170285,0.209828494,CA
6,,1,Some College,11,55485,5974733,18217440,170285,0.327967761,CA
6,,1,Bachelors Degree or more,11,58730,5784146,18217440,170285,0.317505972,CA
6,0,,Less than High School,13,30947,3530191,22112849,207316,0.159644332,CA
6,0,,High School,13,41527,4723204,22112849,207316,0.213595453,CA
6,0,,Some College,13,68451,7335087,22112849,207316,0.331711531,CA
6,0,,Bachelors Degree or more,13,66391,6524367,22112849,207316,0.295048684,CA
6,0,0,Less than High School,15,9498,1043894,4692746,45070,0.222448434,CA
6,0,0,High School,15,10226,1093327,4692746,45070,0.232982352,CA
6,0,0,Some College,15,15891,1650743,4692746,45070,0.35176483,CA
6,0,0,Bachelors Degree or more,15,9455,904782,4692746,45070,0.192804384,CA
6,0,1,Less than High School,15,21449,2486297,17420103,162246,0.142725735,CA
6,0,1,High School,15,31301,3629877,17420103,162246,0.208372878,CA
6,0,1,Some College,15,52560,5684344,17420103,162246,0.326309437,CA
6,0,1,Bachelors Degree or more,15,56936,5619585,17420103,162246,0.32259195,CA
6,1,,Less than High School,13,5088,504726,1991752,20005,0.253408055,CA
6,1,,High School,13,5081,525750,1991752,20005,0.263963586,CA
6,1,,Some College,13,6818,679416,1991752,20005,0.341114757,CA
6,1,,Bachelors Degree or more,13,3018,281860,1991752,20005,0.141513602,CA
6,1,0,Less than High School,15,3612,355000,1194415,11966,0.297216629,CA
6,1,0,High School,15,3237,333089,1194415,11966,0.278872084,CA
6,1,0,Some College,15,3893,389027,1194415,11966,0.325705052,CA
6,1,0,Bachelors Degree or more,15,1224,117299,1194415,11966,0.098206235,CA
