FIPS,Dis1,LaborForce,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
38,0,,Some College,13,1708,184273,421470,3979,0.4372149856,ND
38,0,,Bachelors Degree or more,13,1048,117041,421470,3979,0.2776971077,ND
38,0,0,Less than High School,15,98,9407,61995,676,0.1517380434,ND
38,0,0,High School,15,188,16387,61995,676,0.2643277684,ND
38,0,0,Some College,15,287,26299,61995,676,0.42421163,ND
38,0,0,Bachelors Degree or more,15,103,9902,61995,676,0.1597225583,ND
38,0,1,Less than High School,15,130,12750,359475,3303,0.0354683914,ND
38,0,1,High School,15,807,81612,359475,3303,0.227031087,ND
38,0,1,Some College,15,1421,157974,359475,3303,0.4394575422,ND
38,0,1,Bachelors Degree or more,15,945,107139,359475,3303,0.2980429793,ND
38,1,,Less than High School,13,55,6280,35455,364,0.1771259343,ND
38,1,,High School,13,118,10389,35455,364,0.2930193203,ND
38,1,,Some College,13,141,12824,35455,364,0.3616979269,ND
38,1,,Bachelors Degree or more,13,50,5962,35455,364,0.1681568185,ND
38,1,0,Less than High School,15,35,3617,14238,177,0.2540384886,ND
38,1,0,High School,15,59,3961,14238,177,0.2781991853,ND
38,1,0,Some College,15,64,5117,14238,177,0.3593903638,ND
38,1,0,Bachelors Degree or more,15,19,1543,14238,177,0.1083719624,ND
38,1,1,Less than High School,15,20,2663,21217,187,0.1255125607,ND
38,1,1,High School,15,59,6428,21217,187,0.3029646039,ND
38,1,1,Some College,15,77,7707,21217,187,0.3632464533,ND
38,1,1,Bachelors Degree or more,15,31,4419,21217,187,0.2082763821,ND
39,,,Less than High School,9,6417,665583,7085836,70546,0.0939314712,OH
39,,,High School,9,22553,2253469,7085836,70546,0.3180244364,OH
39,,,Some College,9,23535,2372629,7085836,70546,0.334841083,OH
39,,,Bachelors Degree or more,9,18041,1794155,7085836,70546,0.2532030095,OH
39,,0,Less than High School,11,3010,302650,1621382,16725,0.1866617491,OH
39,,0,High School,11,6087,579298,1621382,16725,0.3572865617,OH
39,,0,Some College,11,5253,505198,1621382,16725,0.3115848085,OH
39,,0,Bachelors Degree or more,11,2375,234236,1621382,16725,0.1444668807,OH
39,,1,Less than High School,11,3407,362933,5464454,53821,0.0664170656,OH
39,,1,High School,11,16466,1674171,5464454,53821,0.3063747998,OH
39,,1,Some College,11,18282,1867431,5464454,53821,0.3417415537,OH
39,,1,Bachelors Degree or more,11,15666,1559919,5464454,53821,0.2854665809,OH
39,0,,Less than High School,13,4601,491886,6241476,61783,0.0788092432,OH
39,0,,High School,13,19075,1924155,6241476,61783,0.3082852518,OH
39,0,,Some College,13,20950,2117930,6241476,61783,0.339331594,OH
39,0,,Bachelors Degree or more,13,17157,1707505,6241476,61783,0.273573911,OH
39,0,0,Less than High School,15,1627,172870,1124577,11509,0.153720021,OH
39,0,0,High School,15,3984,382323,1124577,11509,0.3399704956,OH
39,0,0,Some College,15,3876,370137,1124577,11509,0.3291344212,OH
39,0,0,Bachelors Degree or more,15,2022,199247,1124577,11509,0.1771750623,OH
39,0,1,Less than High School,15,2974,319016,5116899,50274,0.062345573,OH
39,0,1,High School,15,15091,1541832,5116899,50274,0.3013215621,OH
39,0,1,Some College,15,17074,1747793,5116899,50274,0.3415726986,OH
39,0,1,Bachelors Degree or more,15,15135,1508258,5116899,50274,0.2947601663,OH
39,1,,Less than High School,13,1816,173697,844360,8763,0.2057143872,OH
39,1,,High School,13,3478,329314,844360,8763,0.3900161069,OH
39,1,,Some College,13,2585,254699,844360,8763,0.3016474016,OH
39,1,,Bachelors Degree or more,13,884,86650,844360,8763,0.1026221043,OH
39,1,0,Less than High School,15,1383,129780,496805,5216,0.2612292549,OH
39,1,0,High School,15,2103,196975,496805,5216,0.3964835298,OH
39,1,0,Some College,15,1377,135061,496805,5216,0.2718591802,OH
39,1,0,Bachelors Degree or more,15,353,34989,496805,5216,0.0704280351,OH
39,1,1,Less than High School,15,433,43917,347555,3547,0.1263598567,OH
39,1,1,High School,15,1375,132339,347555,3547,0.3807713887,OH
39,1,1,Some College,15,1208,119638,347555,3547,0.3442275323,OH
39,1,1,Bachelors Degree or more,15,531,51661,347555,3547,0.1486412223,OH
40,,,Less than High School,9,2778,295747,2315643,21397,0.1277170099,OK
40,,,High School,9,6944,713718,2315643,21397,0.3082159037,OK
40,,,Some College,9,7336,791689,2315643,21397,0.3418873289,OK
40,,,Bachelors Degree or more,9,4339,514489,2315643,21397,0.2221797574,OK
40,,0,Less than High School,11,1184,116203,579291,5857,0.2005952104,OK
40,,0,High School,11,2054,196911,579291,5857,0.3399172437,OK
40,,0,Some College,11,1979,190609,579291,5857,0.329038428,OK
40,,0,Bachelors Degree or more,11,640,75568,579291,5857,0.130449118,OK
40,,1,Less than High School,11,1594,179544,1736352,15540,0.1034029966,OK
40,,1,High School,11,4890,516807,1736352,15540,0.2976395339,OK
40,,1,Some College,11,5357,601080,1736352,15540,0.3461740477,OK
40,,1,Bachelors Degree or more,11,3699,438921,1736352,15540,0.2527834218,OK
40,0,,Less than High School,13,2116,233219,2000860,18168,0.1165593795,OK
40,0,,High School,13,5739,596017,2000860,18168,0.2978804114,OK
40,0,,Some College,13,6337,693983,2000860,18168,0.3468423578,OK
40,0,,Bachelors Degree or more,13,3976,477641,2000860,18168,0.2387178513,OK
40,0,0,Less than High School,15,706,71173,395411,3933,0.1799975216,OK
40,0,0,High School,15,1321,127071,395411,3933,0.3213643525,OK
40,0,0,Some College,15,1420,137013,395411,3933,0.3465078109,OK
40,0,0,Bachelors Degree or more,15,486,60154,395411,3933,0.152130315,OK
40,0,1,Less than High School,15,1410,162046,1605449,14235,0.1009350032,OK
40,0,1,High School,15,4418,468946,1605449,14235,0.2920964789,OK
40,0,1,Some College,15,4917,556970,1605449,14235,0.3469247544,OK
40,0,1,Bachelors Degree or more,15,3490,417487,1605449,14235,0.2600437635,OK
40,1,,Less than High School,13,662,62528,314783,3229,0.1986384271,OK
40,1,,High School,13,1205,117701,314783,3229,0.3739115518,OK
40,1,,Some College,13,999,97706,314783,3229,0.3103916031,OK
40,1,,Bachelors Degree or more,13,363,36848,314783,3229,0.117058418,OK
40,1,0,Less than High School,15,478,45030,183880,1924,0.2448879704,OK
40,1,0,High School,15,733,69840,183880,1924,0.3798129215,OK
40,1,0,Some College,15,559,53596,183880,1924,0.2914726996,OK
40,1,0,Bachelors Degree or more,15,154,15414,183880,1924,0.0838264085,OK
40,1,1,Less than High School,15,184,17498,130903,1305,0.1336714972,OK
40,1,1,High School,15,472,47861,130903,1305,0.3656218727,OK
40,1,1,Some College,15,440,44110,130903,1305,0.3369670672,OK
40,1,1,Bachelors Degree or more,15,209,21434,130903,1305,0.1637395629,OK
41,,,Less than High School,9,2045,257570,2444587,23443,0.1053634009,OR
41,,,High School,9,5334,586704,2444587,23443,0.2400012763,OR
41,,,Some College,9,8960,923343,2444587,23443,0.3777092,OR
41,,,Bachelors Degree or more,9,7104,676970,2444587,23443,0.2769261229,OR
41,,0,Less than High School,11,767,87647,591279,5902,0.1482328985,OR
41,,0,High School,11,1555,156117,591279,5902,0.2640327155,OR
41,,0,Some College,11,2389,234911,591279,5902,0.3972929869,OR
41,,0,Bachelors Degree or more,11,1191,112604,591279,5902,0.1904413991,OR
41,,1,Less than High School,11,1278,169923,1853308,17541,0.0916863252,OR
41,,1,High School,11,3779,430587,1853308,17541,0.2323342909,OR
41,,1,Some College,11,6571,688432,1853308,17541,0.3714611926,OR
41,,1,Bachelors Degree or more,11,5913,564366,1853308,17541,0.3045181913,OR
41,0,,Less than High School,13,1594,202321,2131995,20557,0.0948975021,OR
41,0,,High School,13,4446,495029,2131995,20557,0.232190507,OR
41,0,,Some College,13,7828,799722,2131995,20557,0.3751050073,OR
41,0,,Bachelors Degree or more,13,6689,634923,2131995,20557,0.2978069836,OR
41,0,0,Less than High School,15,450,49715,412812,4201,0.1204301232,OR
41,0,0,High School,15,1013,104489,412812,4201,0.2531152195,OR
41,0,0,Some College,15,1744,166345,412812,4201,0.4029558249,OR
41,0,0,Bachelors Degree or more,15,994,92263,412812,4201,0.2234988324,OR
41,0,1,Less than High School,15,1144,152606,1719183,16356,0.0887665827,OR
41,0,1,High School,15,3433,390540,1719183,16356,0.2271660434,OR
41,0,1,Some College,15,6084,633377,1719183,16356,0.3684174401,OR
41,0,1,Bachelors Degree or more,15,5695,542660,1719183,16356,0.3156499337,OR
41,1,,Less than High School,13,451,55249,312592,2886,0.1767447663,OR
41,1,,High School,13,888,91675,312592,2886,0.2932736602,OR
41,1,,Some College,13,1132,123621,312592,2886,0.3954707734,OR
41,1,,Bachelors Degree or more,13,415,42047,312592,2886,0.1345108,OR
41,1,0,Less than High School,15,317,37932,178467,1701,0.2125434954,OR
41,1,0,High School,15,542,51628,178467,1701,0.2892859744,OR
41,1,0,Some College,15,645,68566,178467,1701,0.3841942768,OR
41,1,0,Bachelors Degree or more,15,197,20341,178467,1701,0.1139762533,OR
41,1,1,Less than High School,15,134,17317,134125,1185,0.129110904,OR
41,1,1,High School,15,346,40047,134125,1185,0.2985796831,OR
41,1,1,Some College,15,487,55055,134125,1185,0.4104753029,OR
41,1,1,Bachelors Degree or more,15,218,21706,134125,1185,0.16183411,OR
42,,,Less than High School,9,6221,695770,7859734,76903,0.0885233521,PA
42,,,High School,9,26600,2611015,7859734,76903,0.332201446,PA
42,,,Some College,9,22705,2301752,7859734,76903,0.2928536767,PA
42,,,Bachelors Degree or more,9,21377,2251197,7859734,76903,0.2864215252,PA
42,,0,Less than High School,11,2756,305994,1785858,17994,0.1713428503,PA
42,,0,High School,11,6893,659344,1785858,17994,0.3692029265,PA
42,,0,Some College,11,5411,523926,1785858,17994,0.2933749492,PA
42,,0,Bachelors Degree or more,11,2934,296594,1785858,17994,0.1660792739,PA
42,,1,Less than High School,11,3465,389776,6073876,58909,0.0641725317,PA
42,,1,High School,11,19707,1951671,6073876,58909,0.3213221673,PA
42,,1,Some College,11,17294,1777826,6073876,58909,0.2927004107,PA
42,,1,Bachelors Degree or more,11,18443,1954603,6073876,58909,0.3218048903,PA
42,0,,Less than High School,13,4653,526889,7007804,68416,0.0751860355,PA
42,0,,High School,13,22783,2245735,7007804,68416,0.3204620163,PA
42,0,,Some College,13,20604,2085782,7007804,68416,0.2976370344,PA
42,0,,Bachelors Degree or more,13,20376,2149398,7007804,68416,0.3067149138,PA
42,0,0,Less than High School,15,1584,179465,1282139,12983,0.139973123,PA
42,0,0,High School,15,4577,436629,1282139,12983,0.3405473198,PA
42,0,0,Some College,15,4299,410067,1282139,12983,0.3198303772,PA
42,0,0,Bachelors Degree or more,15,2523,255978,1282139,12983,0.19964918,PA
42,0,1,Less than High School,15,3069,347424,5725665,55433,0.0606783666,PA
42,0,1,High School,15,18206,1809106,5725665,55433,0.3159643465,PA
42,0,1,Some College,15,16305,1675715,5725665,55433,0.2926673146,PA
42,0,1,Bachelors Degree or more,15,17853,1893420,5725665,55433,0.3306899723,PA
42,1,,Less than High School,13,1568,168881,851930,8487,0.1982334229,PA
42,1,,High School,13,3817,365280,851930,8487,0.4287676218,PA
42,1,,Some College,13,2101,215970,851930,8487,0.2535067435,PA
42,1,,Bachelors Degree or more,13,1001,101799,851930,8487,0.1194922118,PA
42,1,0,Less than High School,15,1172,126529,503719,5011,0.2511896514,PA
42,1,0,High School,15,2316,222715,503719,5011,0.4421413526,PA
42,1,0,Some College,15,1112,113859,503719,5011,0.2260367387,PA
42,1,0,Bachelors Degree or more,15,411,40616,503719,5011,0.0806322573,PA
42,1,1,Less than High School,15,396,42352,348211,3476,0.1216274041,PA
42,1,1,High School,15,1501,142565,348211,3476,0.4094212992,PA
42,1,1,Some College,15,989,102111,348211,3476,0.2932446132,PA
42,1,1,Bachelors Degree or more,15,590,61183,348211,3476,0.1757066836,PA
44,,,Less than High School,9,615,70888,672210,6700,0.1054551405,RI
44,,,High School,9,1644,170732,672210,6700,0.2539861055,RI
44,,,Some College,9,2203,223098,672210,6700,0.3318873566,RI
44,,,Bachelors Degree or more,9,2238,207492,672210,6700,0.3086713973,RI
44,,0,Less than High School,11,225,24188,136163,1396,0.1776400344,RI
44,,0,High School,11,421,41209,136163,1396,0.3026446245,RI
44,,0,Some College,11,470,44838,136163,1396,0.3292965049,RI
44,,0,Bachelors Degree or more,11,280,25928,136163,1396,0.1904188362,RI
44,,1,Less than High School,11,390,46700,536047,5304,0.0871192265,RI
44,,1,High School,11,1223,129523,536047,5304,0.2416262007,RI
44,,1,Some College,11,1733,178260,536047,5304,0.3325454671,RI
44,,1,Bachelors Degree or more,11,1958,181564,536047,5304,0.3387091057,RI
44,0,,Less than High School,13,455,55308,605451,6017,0.0913500845,RI
44,0,,High School,13,1434,147840,605451,6017,0.2441816101,RI
44,0,,Some College,13,1996,203826,605451,6017,0.3366515209,RI
44,0,,Bachelors Degree or more,13,2132,198477,605451,6017,0.3278167845,RI
44,0,0,Less than High School,15,116,13690,96999,1019,0.1411354756,RI
44,0,0,High School,15,298,26177,96999,1019,0.2698687615,RI
44,0,0,Some College,15,363,34451,96999,1019,0.35516861,RI
44,0,0,Bachelors Degree or more,15,242,22681,96999,1019,0.2338271529,RI
44,0,1,Less than High School,15,339,41618,508452,4998,0.0818523676,RI
