FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
16,0,,6,0.1138005524,96090,844372,7834,ID
16,1,,6,0.0785400217,8306,105755,1137,ID
17,0,,6,0.1632156936,1192589,7306828,70061,IL
17,1,,6,0.1199390389,86726,723084,7481,IL
18,0,,6,0.0627217994,220803,3520355,34340,IN
18,1,,6,0.0341461633,16826,492764,5134,IN
19,0,,6,0.0503807027,84662,1680445,16567,IA
19,1,,6,0.0447760409,8513,190124,1881,IA
20,0,,6,0.1058939243,166017,1567767,15006,KS
20,1,,6,0.0652547417,11622,178102,1891,KS
21,0,,6,0.0330935762,75585,2283978,22450,KY
21,1,,6,0.0121008091,5079,419724,4221,KY
22,0,,6,0.0519480729,128520,2474009,22513,LA
22,1,,6,0.0253943616,9358,368507,3725,LA
23,0,,6,0.0125703772,8895,707616,6608,ME
23,1,,6,0.0135820355,1650,121484,1145,ME
24,0,,6,0.0938494025,321773,3428610,32956,MD
24,1,,6,0.0541698247,17439,321932,3229,MD
25,0,,6,0.096964398,376620,3884106,38733,MA
25,1,,6,0.1423443851,55997,393391,3995,MA
26,0,,6,0.0443488671,236336,5329020,51399,MI
26,1,,6,0.0360338688,28011,777352,8010,MI
27,0,,6,0.0461709116,141603,3066931,29576,MN
27,1,,6,0.0346280664,10313,297822,3111,MN
28,0,,6,0.0259012801,39309,1517647,14244,MS
28,1,,6,0.0160208591,4510,281508,2883,MS
29,0,,6,0.0367225631,118457,3225728,31230,MO
29,1,,6,0.0248715215,11407,458637,4811,MO
30,0,,6,0.0273106219,14984,548651,5250,MT
30,1,,6,0.044201876,3195,72282,678,MT
31,0,,6,0.0935905509,96757,1033833,9880,NE
31,1,,6,0.0649399635,6198,95442,1033,NE
32,0,,6,0.2742040736,419776,1530889,14174,NV
32,1,,6,0.2041432358,39969,195789,1842,NV
33,0,,6,0.0311339836,23582,757436,7442,NH
33,1,,6,0.0162499854,1389,85477,830,NH
34,0,,6,0.1934766841,985927,5095844,49250,NJ
34,1,,6,0.1807568557,79381,439159,4446,NJ
35,0,,6,0.4615519495,502763,1089288,9818,NM
35,1,,6,0.4441343364,72087,162309,1469,NM
36,0,,6,0.1819092029,2070850,11383976,108888,NY
36,1,,6,0.2018762827,220933,1094398,11785,NY
37,0,,6,0.088711815,477586,5383567,51099,NC
37,1,,6,0.0393384476,27860,708213,7279,NC
38,0,,6,0.023444136,9881,421470,3979,ND
38,1,,6,0.0444789169,1577,35455,364,ND
39,0,,6,0.0317253483,198013,6241476,61783,OH
39,1,,6,0.0264650149,22346,844360,8763,OH
40,0,,6,0.0961686475,192420,2000860,18168,OK
40,1,,6,0.0497009051,15645,314783,3229,OK
41,0,,6,0.1182197894,252044,2131995,20557,OR
41,1,,6,0.0891961407,27882,312592,2886,OR
42,0,,6,0.0565395379,396218,7007804,68416,PA
42,1,,6,0.0864742408,73670,851930,8487,PA
44,0,,6,0.1311699873,79417,605451,6017,RI
44,1,,6,0.13548735,9045,66759,683,RI
45,0,,6,0.0563224695,144392,2563666,24095,SC
45,1,,6,0.0245711534,8931,363475,3770,SC
46,0,,6,0.031105015,13992,449831,4359,SD
46,1,,6,0.0223130435,1283,57500,541,SD
47,0,,6,0.0492056655,169527,3445274,33203,TN
47,1,,6,0.0222107762,12376,557207,5723,TN
48,0,,6,0.3732158119,5430617,14550876,133399,TX
48,1,,6,0.3289941347,532705,1619193,16273,TX
49,0,,6,0.1311168406,204231,1557626,14827,UT
49,1,,6,0.1004405346,14797,147321,1495,UT
50,0,,6,0.0141503811,4986,352358,3569,VT
50,1,,6,0.0155568677,685,44032,420,VT
51,0,,6,0.0911152602,432663,4748524,46177,VA
51,1,,6,0.0398858162,18793,471170,4852,VA
