Dis1,Industry21,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est
1,Information,Bachelors Degree or more,7,475,45735,147459,1516,0.310154009
1,"Finance, Insurance",Less than High School,7,70,6124,265358,2819,0.023078257
1,"Finance, Insurance",High School,7,623,56467,265358,2819,0.212795544
1,"Finance, Insurance",Some College,7,1105,106641,265358,2819,0.401875956
1,"Finance, Insurance",Bachelors Degree or more,7,1021,96126,265358,2819,0.362250243
1,"Real Estate, Rental & Leasing",Less than High School,7,211,25041,177712,1769,0.140907761
1,"Real Estate, Rental & Leasing",High School,7,448,45414,177712,1769,0.255548303
1,"Real Estate, Rental & Leasing",Some College,7,652,63236,177712,1769,0.355834159
1,"Real Estate, Rental & Leasing",Bachelors Degree or more,7,458,44021,177712,1769,0.247709778
1,"Professional, Scientific, Management",Less than High School,7,117,11727,399852,4326,0.029328352
1,"Professional, Scientific, Management",High School,7,573,53517,399852,4326,0.133842022
1,"Professional, Scientific, Management",Some College,7,1420,134376,399852,4326,0.336064344
1,"Professional, Scientific, Management",Bachelors Degree or more,7,2216,200232,399852,4326,0.500765283
1,Administrative & Waste Management Services,Less than High School,7,890,95957,439024,4279,0.218568917
1,Administrative & Waste Management Services,High School,7,1434,148814,439024,4279,0.338965524
1,Administrative & Waste Management Services,Some College,7,1384,138931,439024,4279,0.316454226
1,Administrative & Waste Management Services,Bachelors Degree or more,7,571,55322,439024,4279,0.126011334
1,Educational Services,Less than High School,7,367,34633,642501,7183,0.053903418
1,Educational Services,High School,7,1269,110703,642501,7183,0.172300121
1,Educational Services,Some College,7,1853,171284,642501,7183,0.266589468
1,Educational Services,Bachelors Degree or more,7,3694,325881,642501,7183,0.507206993
1,Health Care,Less than High School,7,918,87999,926796,9486,0.094949698
1,Health Care,High School,7,2289,222049,926796,9486,0.239587784
1,Health Care,Some College,7,3856,383328,926796,9486,0.413605583
1,Health Care,Bachelors Degree or more,7,2423,233420,926796,9486,0.251856935
1,Social Assistance Services,Less than High School,7,765,63426,324139,3686,0.195675312
1,Social Assistance Services,High School,7,1344,112719,324139,3686,0.34774896
1,Social Assistance Services,Some College,7,977,90691,324139,3686,0.27979046
1,Social Assistance Services,Bachelors Degree or more,7,600,57303,324139,3686,0.176785268
1,"Arts, Entertainment, Recreation",Less than High School,7,211,20240,173798,1770,0.116457036
1,"Arts, Entertainment, Recreation",High School,7,513,52482,173798,1770,0.301971254
1,"Arts, Entertainment, Recreation",Some College,7,639,63175,173798,1770,0.363496703
1,"Arts, Entertainment, Recreation",Bachelors Degree or more,7,407,37901,173798,1770,0.218075007
